	Lambda_Max	Species	Opsin_Family	Accession
S60	493.00000	Bos_taurus	Rh1	NM_001014890_E122M
S61	500.00000	Bos_taurus	Rh1	NM_001014890_A164G
S62	500.00000	Cyprichromis_leptosoma	Rh1	AB458118.1
S63	491.00000	Paracyprichromis_brieni	Rh1	AB458120.1
S64	497.00000	Xenotilapia_papilio	Rh1	AB457996.1
S65	494.00000	Paracyprichromis_brieni	Rh1	AB458121.1
S66	493.00000	Neolamprologus_ventralis	Rh1	AB458138.1
S67	492.00000	Paracyprichromis_nigripinnis	Rh1	AB458122.1
S68	489.00000	Cyprichromis_pavo	Rh1	AB458119.1
S69	498.00000	Cyphotilapia_frontosa	Rh1	AB084929_S292A
S70	500.00000	Trematocara_macrostoma	Rh1	AB084945_S292A
S71	491.00000	Oreochromis_niloticus	Rh1	AB084938_A292S
S72	500.00000	Baileychromis_centropomoides	Rh1	AB185217_N83D
S73	503.00000	Pallidochromis_tokolosh	Rh1	AB185229_N83D
S74	502.00000	Diplotaxodon_macrops	Rh1	AB185220_N83D
S75	494.00000	Limnochromis_staneri	Rh1	AB185225_D83N
S76	501.00000	Rod_ancestor_pigmenta	Rh1	pigmenta
S77	501.00000	Rod_ancestor_pigmentb	Rh1	pigmentb
S78	501.00000	Rod_ancestor_pigmentc	Rh1	pigmentc
S79	501.00000	Rod_ancestor_pigmentd	Rh1	pigmentd
S80	482.00000	Rod_ancestor_pigmente	Rh1	pigmente
S81	502.00000	Rod_ancestor_pigmentf	Rh1	pigmentf
S82	501.00000	Rod_ancestor_pigmentg	Rh1	pigmentg
S83	502.00000	Rod_ancestor_pigmenth	Rh1	pigmenth
S84	496.00000	Rod_ancestor_pigmenti	Rh1	pigmenti
S85	485.00000	Rod_ancestor_pigmentj	Rh1	pigmentj
S86	486.00000	Rod_ancestor_pigmenti	Rh1	pigmentk
S87	486.00000	Conger_myriaster	Rh1	AB043817.1
S88	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S89	496.00000	Loxodonta_africana	Rh1	AY686752.1
S90	483.00000	Sebastolobus_altivelis	Rh1	DQ490124
S91	526.00000	Aristostomias_scintillans	Rh1	EU407248.1
S92	489.00000	Chauliodus_macouni	Rh1	EU407250.1
S93	492.00000	Stenobrachius_leucopsarus	Rh1	EU407251.1
S94	507.00000	Lepidopus_fitchi	Rh1	EU407252.1
S95	486.00000	Lepidopus_fitchi	Rh1	EU407253.1
S96	491.00000	Anolis_carolinensis	Rh1	L31503
S97	479.00000	Anguilla_japonica	Rh1	LC464070.1
S98	504.00000	Astyanax_mexicanus	Rh1	U12328.1
S99	489.00000	Rod_ancestor_pigmentc_A292S	Rh1	pigmentc_A292S
S100	502.00000	Rod_ancestor_pigmentd_A292S	Rh1	pigmentd_A292S
S101	491.00000	Rod_ancestor_pigmentg_A292S	Rh1	pigmentg_A292S
S102	498.00000	Rod_ancestor_pigmenta_D83N	Rh1	pigmenta_D83N
S103	479.00000	Rod_ancestor_pigmente_D83N	Rh1	pigmente_D83N
S104	488.00000	Rod_ancestor_pigmenta_D83N_A292S	Rh1	pigmenta_D83N_A292S
S105	486.00000	Rod_ancestor_pigmentg_D83N_A292S	Rh1	pigmentg_D83N_A292S
S106	482.00000	Rod_ancestor_pigmenth_D83N_A292S	Rh1	pigmenth_D83N_A292S
S107	482.00000	Rod_ancestor_pigmenti_D83N_A292S	Rh1	pigmenti_D83N_A292S
S108	497.00000	Rod_ancestor_pigmenta_D83N_I214T	Rh1	pigmenta_D83N_I214T
S109	526.00000	Rod_ancestor_pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I	Rh1	pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I
S110	501.00000	Rod_ancestor_pigmentb_E122I	Rh1	pigmentb_E122I
S111	507.00000	Rod_ancestor_pigmentb_E122I_F261Y	Rh1	pigmentb_E122I_F261Y
S112	484.00000	Rod_ancestor_pigmentf_E122M_A292S	Rh1	pigmentf_E122M_A292S
S113	504.00000	Rod_ancestor_pigmentf_E122M_F261Y	Rh1	pigmentf_E122M_F261Y
S114	490.00000	Rod_ancestor_pigmentf_E122M_F261Y_A292S	Rh1	pigmentf_E122M_F261Y_A292S
S115	489.00000	Rod_ancestor_pigmentf_E122Q	Rh1	pigmentf_E122Q
S116	478.00000	Rod_ancestor_pigmenta_E122Q_A292S	Rh1	pigmenta_E122Q_A292S
S117	511.00000	Rod_ancestor_pigmentb_F261Y	Rh1	pigmentb_F261Y
S118	503.00000	Rod_ancestor_pigmenti_F261Y	Rh1	pigmenti_F261Y
S119	488.00000	Rod_ancestor_pigmentd_N195A_A292S	Rh1	pigmentd_N195A_A292S
S120	488.00000	Rod_ancestor_pigmentd_P194R_A292S	Rh1	pigmentd_P194R_A292S
S121	501.00000	Rod_ancestor_pigmentd_P194R_N195A	Rh1	pigmentd_P194R_N195A
S122	488.00000	Rod_ancestor_pigmentd_P194R_N195A_A292S	Rh1	pigmentd_P194R_N195A_A292S
S123	494.00000	Rod_ancestor_pigmenth_Y96V_Y102F	Rh1	pigmenth_Y96V_Y102F
S124	491.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D
S125	492.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D
S126	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D
S127	501.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D_S292A
S128	504.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D_S292A
S129	495.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D_S292A
S130	499.00000	Stenobrachius_leucopsarus	Rh1	EU407251_Q122E
S131	498.00000	Conger_myriaster	Rh1	AB043817.1_S292A
S132	494.00000	Sebastolobus_altivelis	Rh1	DQ490124_S292A
S133	501.00000	Chauliodus_macouni	Rh1	EU407250.1_S292A
S134	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_S292A
S135	502.00000	Lepidopus_fitchi	Rh1	EU407252.1_Y261F
S136	483.00000	Sebastolobus_altivelis	Rh1	DQ490124.1
S137	500.00000	Bos_tarus	Rh1	P02699.1
S138	489.00000	Tursiops_truncatus	Rh1	NM_001280659.1
S139	524.00000	Tursiops_truncatus	LWS	XM_019933644.2
S140	552.00000	Tursiops_truncatus	LWS	XM_019933644.2_S292A
S141	489.00000	Bos_tarus	Rh1	NM_001014890_A292S
S142	501.00000	Bos_tarus	Rh1	NM_001014890_A299S
S143	485.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S
S144	489.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S_A299S
S145	492.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_348
S146	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_306-NM_001014890_307_348
S147	499.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_306-DQ490124.1_307_348
S148	494.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1[S292A]_1_306-NM_001014890_307_348
S149	491.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_306-DQ490124.1_307_348
S150	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_348
S151	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_348
S152	494.00000	Sebastolobus_altivelis	Rh1	DQ490124.1_S292A
S153	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_306-NM_001014890_307_348
S154	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890[A292S]_1_306-DQ490124.1_307_348
S155	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_306-NM_001014890_307_348
S156	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_306-DQ490124.1_307_348
S157	490.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_348
S158	467.00000	Gekko_gekko	Rh2	M92035
S159	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A
S160	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_L52M
S161	492.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A_L52M
S162	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N
S163	0.00000	Anolis_carolinensis	Rh2	NM_001291394.1_M86T
S164	488.00000	Anolis_carolinensis	Rh2	NM_001291394.1_T97A
S165	481.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N_M86T_T97A
S166	495.00000	Anolis_carolinensis	Rh2	NM_001291394.1_S164A
S167	512.00000	Anolis_carolinensis	Rh2	NM_001291394.1_Q122E
S168	511.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49S_Q122E_S164A
S169	467.00000	Gekko_gekko	Rh2	M92035_A164S
S170	480.00000	Gekko_gekko	Rh2	M92035_Q122E
S171	452.00000	Oryzias_latipes	Rh2	AB223053.1
S172	459.00000	Oryzias_latipes	Rh2	AB223053.1_S292A
S173	469.00000	Oryzias_latipes	Rh2	AB223053.1_Q122E_S292A
S174	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1
S175	491.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_348
S176	482.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_70-M92035.1_71_100-AH007735.2_101_348
S177	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_105-M92035.1_106_139-AH007735.2_140_149-M92035.1_150_172-AH007735.2_173_348
S178	494.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_348
S179	493.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_243-M92035.1_244_273-AH007735.2_274_348
S180	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_284-M92035.1_285_309-AH007735.2_310_348
S181	471.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_70-M92035.1_71_100-AH007735.2_101_105-M92035.1_106_139-AH007735.2_140-149-M92035.1_150_172-AH007735.2_173_348
S182	489.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_243-M92035.1_244_273-AH007735.2_274_284-M92035.1_285_309-AH007735.2_310_348
S183	467.00000	Danio_rerio	Rh2	AB087805.2
S184	467.00000	Danio_rerio	Rh2	AB087806.2
S185	488.00000	Danio_rerio	Rh2	AB087807.1
S186	505.00000	Danio_rerio	Rh2	AB087808.2
S187	464.00000	Danio_rerio	Rh2	AB087805.2_K36Q
S188	464.00000	Danio_rerio	Rh2	AB087805.2_L46F
S189	463.00000	Danio_rerio	Rh2	AB087805.2_I49C
S190	465.00000	Danio_rerio	Rh2	AB087805.2_V60L
S191	467.00000	Danio_rerio	Rh2	AB087805.2_S94T
S192	465.00000	Danio_rerio	Rh2	AB087805.2_L108T
S193	468.00000	Danio_rerio	Rh2	AB087805.2_V111A
S194	466.00000	Danio_rerio	Rh2	AB087805.2_M112I
S195	470.00000	Danio_rerio	Rh2	AB087805.2_V111A_M112I
S196	471.00000	Danio_rerio	Rh2	AB087805.2_S94T_V111A_M112I
S197	472.00000	Danio_rerio	Rh2	AB087805.2_L46F_I49C_S94T_V111A_M112I
S198	536.00000	Petromyzon_marinus	Rh1	EU571209.1
S199	501.00000	Petromyzon_marinus	LWS	AH005459.2
S200	554.00000	Petromyzon_marinus	Rh1	EU571209.1_P164S
S201	562.80000	Carassius_auratus	LWS	L11867.1
S202	544.00000	Carassius_auratus	LWS	L11867.1_S164P
S203	463.00000	Cottusgobio_gobio	SWS2	AJ430489.1
S204	458.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T118A
S205	452.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T118G
S206	465.00000	Cottusgobio_gobio	SWS2	AJ430489.1_P215G
S207	453.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T269A
S208	499.00000	Bos_tarus	Rh1	NM_001014890_E181A
S209	500.00000	Bos_tarus	Rh1	NM_001014890_E181N
S210	497.00000	Bos_tarus	Rh1	NM_001014890_E181D
S211	499.00000	Bos_tarus	Rh1	NM_001014890_E181C
S212	508.00000	Bos_tarus	Rh1	NM_001014890_E181Q
S213	500.00000	Bos_tarus	Rh1	NM_001014890_E181G
S214	497.00000	Bos_tarus	Rh1	NM_001014890_E181H
S215	501.00000	Bos_tarus	Rh1	NM_001014890_E181I
S216	502.00000	Bos_tarus	Rh1	NM_001014890_E181L
S217	500.00000	Bos_tarus	Rh1	NM_001014890_E181M
S218	501.00000	Bos_tarus	Rh1	NM_001014890_E181F
S219	500.00000	Bos_tarus	Rh1	NM_001014890_E181S
S220	502.00000	Bos_tarus	Rh1	NM_001014890_E181T
S221	502.00000	Bos_tarus	Rh1	NM_001014890_E181W
S222	501.00000	Bos_tarus	Rh1	NM_001014890_E181Y
S223	498.00000	Bos_tarus	Rh1	NM_001014890_E181V
S224	499.00000	Bos_tarus	Rh1	NM_001014890_E113Q
S225	500.00000	Bos_tarus	Rh1	NM_001014890_E113Q_E181D
S226	359.00000	Carassius_auratus	SWS1	D85863.1
S227	355.00000	Danio_rerio	SWS1	AB087810.1
S228	423.00000	Xenopus_laevis	SWS1	U23463.1
S229	356.00000	Ambystoma_tigrinum	SWS1	AF038948.1
S230	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S231	360.00000	Gekko_gecko	SWS1	AY024356.1
S232	393.00000	Columba_livia	SWS1	AH007798.2
S233	359.00000	Taeniopygia_guttata	SWS1	AF222331.1
S234	415.00000	Gallus_gallus	SWS1	M92039.1
S235	363.00000	Melopsittacus_undulatus	SWS1	Y11787.1
S236	414.00000	Homo_sapiens	SWS1	AH003620.2
S237	359.00000	Mus_musculus	SWS1	U49720.1
S238	358.00000	Rattus_norvegicus	SWS1	U63972.1
S239	438.00000	Bos_taurus	SWS1	U92557.1
S240	420.00000	Cavia_porcellus	SWS1	AY552608.1
S241	419.00000	Loxodonta_africana	SWS1	AY686753.1
S242	420.00000	Notamacropus_eugenii	SWS1	AY286017.1
S243	489.00000	Delphinus_delphis	Rh0	AF055314
S244	488.00000	Globicephala_melas	Rh0	AF055315
S245	484.00000	Mesoplodon_bidens	Rh0	AF055316
S246	501.00000	Phoca_vitulina	Rh0	AF055317
S247	498.00000	Phoca_groenlandicus	Rh0	AF055318
S248	502.00000	Trichechus_manatus	Rh0	AF055319
S249	465.00000	Cottus_gobio	SWS2	AJ430489_P215G
S250	453.00000	Cottus_gobio	SWS2	AJ430489_T269A
S251	452.00000	Cottus_gobio	SWS2	AJ430489_T118G
S252	458.00000	Cottus_gobio	SWS2	AJ430489_T118A
S253	571.00000	Papilio_xuthus	Rh3	AB007425.1
S254	540.00000	Papilio_xuthus	Rh1	AB007423.1
S255	538.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_379
S256	542.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_379
S257	547.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_379
S258	561.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S259	565.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_379
S260	569.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_379
S261	542.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_379
S262	558.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1_130_152-AB007423.1_153_379
S263	560.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S264	561.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S265	566.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S266	556.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S267	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S268	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F]_84_379
S269	545.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[L112I]_84-379
S270	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A115C]_84_379
S271	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G]_84-379
S272	547.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[F120Y]_84_379
S273	548.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[I123V]_84_379
S274	546.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[M130A]_84_379
S275	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G,F120Y,I123V]_84_379
S276	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F,L122I,A115C]_84_379
S277	552.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G,F120Y]_84_379
S278	554.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F,L112I,A115C,A116G,F120Y]_84_379
S279	551.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[G116A]_130_152-AB007423.1_153_379
S280	551.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[Y120F]_130_152-AB007423.1_153_379
S281	549.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[G116A,Y120F]_130_152-AB007423.1_153_379
S282	463.00000	Cottus_gobio	SWS2	AJ430489
S283	502.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S
S284	510.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y
S285	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A269T
S286	520.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y_A269T
S287	512.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_F261Y
S288	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_A269T
S289	492.00000	Carassius_auratus	Rh1	L11863.1
S290	503.00000	Astyanax_mexicanus	Rh1	U12328.1
S291	505.00000	Gambusia_holbrooki	Rh1	Y11146.1
S292	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S293	502.00000	Xenopus_laevis	Rh1	L07770.1
S294	502.00000	Lithobates_pipiens	Rh1	S49004
S295	500.00000	Lithobates_catesbeianus	Rh1	S79840
S296	506.00000	Ambystoma_tigrinum	Rh1	U36574
S297	502.00000	Columba_livia	Rh1	AH007730.2
S298	502.00000	Taeniopygia_guttata	Rh1	AF222329
S299	503.00000	Gallus_gallus	Rh1	D00702
S300	488.00000	Tursiops_truncatus	Rh1	AF055456
S301	511.00000	Carassius_auratus	Rh2	L11865
S302	506.00000	Carassius_auratus	Rh2	L11866
S303	495.00000	Anolis_carolinensis	Rh2	AH007735.2
S304	467.00000	Gekko_gecko	Rh2	M92035.1
S305	503.00000	Columba_livia	Rh2	AH007731.2
S306	505.00000	Taeniopygia_guttata	Rh2	AF222330
S307	508.00000	Gallus_gallus	Rh2	M92038
S308	359.00000	Carassius_auratus	SWS1	D85863
S309	425.00000	Xenopus_laevis	SWS1	U23463
S310	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S311	393.00000	Columba_livia	SWS1	AH007798.2
S312	415.00000	Gallus_gallus	SWS1	M92039
S313	371.00000	Melopsittacus_undulatus	SWS1	Y11787
S314	424.00000	Homo_sapiens	SWS1	AH003620.2
S315	359.00000	Mus_musculus	SWS1	U49720
S316	358.00000	Rattus_norvegicus	SWS1	U63972.1
S317	441.00000	Carassius_auratus	SWS2	L11864
S318	437.00000	Anolis_carolinensis	SWS2	AF133907
S319	448.00000	Columba_livia	SWS2	AH007799.2
S320	441.00000	Taeniopygia_guttata	SWS2	AF222332
S321	455.00000	Gallus_gallus	SWS2	M92037
S322	559.00000	Carassius_auratus	LWS	L11867
S323	561.00000	Anolis_carolinensis	LWS	U08131
S324	558.00000	Columba_livia	LWS	AH007800.2
S325	560.00000	Taeniopygia_guttata	LWS	AF222333.1
S326	571.00000	Gallus_gallus	LWS	M62903.1
S327	530.00000	Homo_sapiens	LWS	AH005296.2
S328	560.00000	Homo_sapiens	LWS	AH005298.2
S329	553.00000	Capra_hircus	LWS	AH006594.2
S330	509.00000	Oryctolagus_cuniculus	MWS	AH006945.2
S331	508.00000	Mus_musculus	MWS	AF011389.1
S332	509.00000	Rattus_norvegicus	MWS	AH006946.2
S333	524.00000	Tursiops_truncatus	LWS	AF055457
S334	553.00000	Felis_catus	LWS	AF132040
S335	545.00000	Equus_caballus	LWS	AF132043
S336	531.00000	Odocoileus_virginianus	LWS	AF132041
S337	516.00000	Cavia_porcellus	MWS	AF132042.1
S338	532.00000	Neosciurus_carolinensis	LWS	AF132044
S339	482.00000	Anolis_carolinensis	MWS	AH007737.2
S340	481.00000	Columba_livia	MWS	U50598.1
S341	359.00000	Taeniopygia_guttata	SWS	AF222331
S342	359.00000	Taeniopygia_guttata	SWS	AF222331_I85V
