,feature,Logistic Regression,Light Gradient Boosting Machine,Gradient Boosting Classifier,mean_imp
145,146,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
146,147,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
147,148,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
148,149,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
149,150,0.0,0.0,0.0,0.0
150,151,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
151,152,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
152,153,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
153,154,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
154,155,0.0,0.0,0.0,0.0
155,156,0.2408342334825309,0.24722222222222223,0.05368830805122902,0.18058158791866072
156,157,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
157,158,0.4459904062707659,0.3416666666666667,0.25284661218509363,0.34683456170750876
158,159,0.37103934573847613,0.28194444444444444,0.38910823641957726,0.34736400886749924
159,160,0.4206962948114064,0.5597222222222222,0.22915186806539076,0.4031901283663398
160,161,0.3644704198653407,0.31527777777777777,0.10739957726168052,0.262382591634933
161,162,0.3650512234651591,0.25972222222222224,0.21744185802733096,0.28073843457157077
162,163,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
163,164,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
164,165,0.6137404262071032,0.39861111111111114,0.0981232880616891,0.3701582751266345
165,166,0.48691424159482344,0.5111111111111111,0.0835199284742146,0.36051509372671636
166,167,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
167,168,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
168,169,0.3214628866231589,0.2111111111111111,0.24696005063225987,0.2598446827888433
169,170,0.8380747739950261,0.7055555555555556,0.7154459217364575,0.7530254170956798
170,171,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
171,172,0.6203737652159981,0.475,0.4845091540164608,0.5266276397441529
172,173,0.0,0.0,0.0,0.0
173,174,0.0,0.0,0.0,0.0
174,175,0.45116254290755264,0.4083333333333333,0.05433149170406067,0.3046091226483156
175,176,0.0,0.0,0.0,0.0
176,177,0.0,0.0,0.0,0.0
177,178,0.0,0.0,0.0,0.0
178,179,0.0,0.0,0.0,0.0
179,180,0.0,0.0,0.0,0.0
180,181,0.0,0.0,0.0,0.0
181,182,0.0,0.0,0.0,0.0
182,183,0.5212197091380649,0.5,0.2619404796791479,0.427720062939071
183,184,0.33417379577370726,0.16805555555555557,0.3811328053937472,0.29445405224100335
184,185,0.7767913051901454,0.5388888888888889,0.5791723323987145,0.6316175088259163
185,186,0.7112257299038709,0.575,0.19175482914978095,0.4926601863512173
186,187,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
187,188,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
188,189,0.22449174910886266,0.0625,0.24014497555019357,0.17571224155301876
189,190,0.43960747442388504,0.4111111111111111,0.23092534627258662,0.36054797726919424
190,191,0.25958472550492523,0.1,0.23977805552224069,0.199787593675722
191,192,0.0,0.0,0.0,0.0
192,193,0.46056824211316627,0.3263888888888889,0.24214665432120316,0.34303459510775275
193,194,0.5427047029365993,0.5611111111111111,0.2443951591045232,0.44940365771741125
194,195,0.5260460383117734,0.38333333333333336,0.2231686768451683,0.37751601616342506
195,196,0.0,0.0,0.0,0.0
196,197,0.40922707266314057,0.29444444444444445,0.44968140406067836,0.38445097372275444
197,198,0.43771952070819353,0.5,0.5027027776341807,0.48014076611412476
198,199,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
199,200,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
200,201,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
201,202,0.6459110898143305,0.9819444444444444,0.6811366935530762,0.7696640759372837
202,203,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
203,204,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
204,205,0.419312309623206,0.4722222222222222,0.2972789987844123,0.39627117687661345
205,206,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
206,207,0.0,0.0,0.0,0.0
207,208,0.9939297952503238,0.6125,0.8977908366372107,0.8347402106291781
208,209,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
209,210,0.38307359118991596,0.275,0.06463863903845576,0.2409040767427906
210,211,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
211,212,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
212,213,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
213,214,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
214,215,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
215,216,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
216,217,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
217,218,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
218,219,0.3425586962885918,0.275,0.25131520109861283,0.28962463246240155
219,220,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
220,221,0.0,0.0,0.0,0.0
221,222,0.1451057099371487,0.06944444444444445,0.2022796595109501,0.1389432712975144
222,223,0.339312874320639,0.16805555555555557,0.18323469931337108,0.23020104306318856
223,224,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
224,225,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
225,226,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
226,227,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
227,228,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
228,229,0.39658585738445007,0.2569444444444444,0.40112215247593414,0.35155081810160954
229,230,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
230,231,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
231,232,0.28008916092006264,0.08472222222222223,0.38291090394985294,0.24924076236404594
232,233,0.39663705544591277,0.11805555555555555,1.0,0.5048975370004894
233,234,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
234,235,0.0,0.0,0.0,0.0
235,236,0.0,0.0,0.0,0.0
236,237,0.0,0.0,0.0,0.0
237,238,0.0,0.0,0.0,0.0
238,239,0.6404167745892777,0.6055555555555555,0.707146303724891,0.6510395446232414
239,240,0.0,0.0,0.0,0.0
240,241,0.0,0.0,0.0,0.0
241,242,0.5998719865228804,0.38333333333333336,0.5737066822178375,0.5189706673580171
242,243,0.4321104064822383,0.2361111111111111,0.39450035476310885,0.35424062411881946
243,244,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
244,245,0.09119831338554146,0.030555555555555555,0.005363293850974576,0.0423723875973572
245,246,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
246,247,0.40783631440843154,0.3,0.07550950268977125,0.26111527236606763
247,248,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
248,249,0.4360512747924241,0.2125,0.4784298391022031,0.3756603712982091
249,250,0.45038633528912786,0.29305555555555557,0.2327902076552678,0.32541069949998375
250,251,0.42460262565509016,0.23194444444444445,0.054116974695173854,0.2368880149315695
251,252,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
252,253,0.0,0.0,0.0,0.0
253,254,0.31353021353042954,0.5375,0.2701365551122554,0.37372225621422833
254,255,0.601638418128563,0.3902777777777778,0.4101702881129829,0.46736216133977454
255,256,0.32785786523062693,0.41805555555555557,0.4942695447106958,0.4133943218322928
256,257,0.7709462375593352,0.6291666666666667,0.1392015509699712,0.5131048183986576
257,258,0.4660053360867698,0.4527777777777778,0.0827719467758215,0.33385168688012307
258,259,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
259,260,0.33712079687354773,0.18611111111111112,0.27142376412217956,0.26488522403561277
260,261,0.6580810730589166,0.4638888888888889,0.0802106668135388,0.4007268762537814
261,262,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
262,263,0.0,0.0,0.0,0.0
263,264,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
264,265,0.37322958047170396,0.35138888888888886,0.19132896960414444,0.3053158129882458
265,266,0.0,0.0,0.0,0.0
266,267,0.0,0.0,0.0,0.0
267,268,0.0,0.0,0.0,0.0
268,269,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
269,270,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
270,271,0.08626577766350722,0.06805555555555555,0.03086751137411428,0.06172961486439235
271,272,0.254817973270771,0.1361111111111111,0.18930739489011528,0.19341215975733247
272,273,0.0,0.0,0.0,0.0
273,274,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
274,275,0.0,0.0,0.0,0.0
275,276,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
276,277,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
277,278,0.15899443418389067,0.075,0.18725196240718264,0.14041546553035777
278,279,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
279,280,0.0,0.0,0.0,0.0
280,281,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
281,282,0.39658585738445007,0.2569444444444444,0.40112215247593414,0.35155081810160954
282,283,0.0,0.0,0.0,0.0
283,284,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
284,285,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
285,286,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
286,287,0.0,0.0,0.0,0.0
287,288,0.0,0.0,0.0,0.0
288,289,0.6575287507136265,0.5541666666666667,0.4205057826070829,0.5440670666624586
289,290,0.5362433188834106,0.3888888888888889,0.6670144827553253,0.5307155635092082
290,291,0.6970167841933489,0.46111111111111114,0.491717302757636,0.5499483993540321
291,292,0.5097224693932015,0.43194444444444446,0.11436607249579084,0.35201099544447895
292,293,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
293,294,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
294,295,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
295,296,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
296,297,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
297,298,0.3933585993682285,0.26944444444444443,0.24491852028173788,0.3025738546981369
298,299,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
299,300,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
300,301,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
301,302,0.3913910957767646,0.46111111111111114,0.3232854781750191,0.39192922835429833
302,303,0.4599695475199305,0.2875,0.49958665061659935,0.41568539937884325
303,304,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
304,305,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
305,306,0.6739978050617738,0.6236111111111111,0.4739272925659505,0.5905120695796119
306,307,0.4494958187964196,0.3194444444444444,0.1104559365904758,0.2931320666104466
307,308,0.0,0.0,0.0,0.0
308,309,0.31510929634806645,0.10972222222222222,0.3695894925699545,0.2648070037134144
309,310,0.5797801484418268,0.4930555555555556,0.3125125573496313,0.46178275378233785
310,311,0.5591431842171082,0.5027777777777778,0.12160303139795389,0.3945079977976133
311,312,0.06216294943209477,0.10555555555555556,0.01337150988202524,0.060363338289891856
312,313,0.5846399152134474,0.29305555555555557,0.23243253398855376,0.3700426682525189
313,314,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
314,315,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
315,316,0.0,0.0,0.0,0.0
316,317,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
317,318,0.4796638214133906,0.33611111111111114,0.4196870710487833,0.41182066785776167
318,319,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
319,320,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
320,321,0.5514126825807811,0.3763888888888889,0.3930370448612589,0.4402795387769763
321,322,0.2688882359106707,0.18472222222222223,0.06067776444456184,0.17142940752581826
322,323,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
323,324,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
324,325,0.2577025834657975,0.23194444444444445,0.049621701023501184,0.17975624297791437
325,326,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
326,327,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
327,328,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
328,329,0.1451057099371487,0.06944444444444445,0.2022796595109501,0.1389432712975144
329,330,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
330,331,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
331,332,0.1075806598238387,0.015277777777777777,0.002291761684303854,0.041716733095306775
332,333,0.0,0.0,0.0,0.0
333,334,0.0,0.0,0.0,0.0
334,335,0.0,0.0,0.0,0.0
335,336,0.0,0.0,0.0,0.0
336,337,0.0,0.0,0.0,0.0
337,338,0.0,0.0,0.0,0.0
338,339,0.0,0.0,0.0,0.0
339,340,0.0,0.0,0.0,0.0
340,341,0.0,0.0,0.0,0.0
341,342,0.0,0.0,0.0,0.0
342,343,0.0,0.0,0.0,0.0
343,344,0.0,0.0,0.0,0.0
344,345,0.0,0.0,0.0,0.0
345,346,0.0,0.0,0.0,0.0
346,347,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
347,348,0.2420174015654264,0.07777777777777778,0.37830135579881946,0.2326988450473412
348,349,0.26953553623600374,0.09444444444444444,0.02019003998769577,0.12805667355604797
349,350,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
350,351,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
351,352,0.2420174015654264,0.07777777777777778,0.37830135579881946,0.2326988450473412
352,353,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
353,354,0.0,0.0,0.0,0.0
354,355,0.28002720421183563,0.24722222222222223,0.016933360385799585,0.18139426227328584
355,356,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
356,357,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
357,358,0.3091369116380474,0.35833333333333334,0.04564159335422948,0.23770394610853673
358,359,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
359,360,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
360,361,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
361,362,0.44049091492363973,0.5888888888888889,0.6982525246060958,0.5758774428062081
362,363,0.0,0.0,0.0,0.0
363,364,0.0,0.0,0.0,0.0
364,365,0.4934975490127278,0.2652777777777778,0.5771438487638035,0.44530639185143633
365,366,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
366,367,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
367,368,0.6063553241707811,0.4375,0.23986952103258224,0.42790828173445444
368,369,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
369,370,0.4043980426687493,0.2152777777777778,0.2801981538600474,0.2999579914355249
370,371,0.3483918390755791,0.19583333333333333,0.3748641892528534,0.30636312055392195
371,372,0.6051256940877334,0.6013888888888889,0.3758035232368476,0.5274393687378233
372,373,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
373,374,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
374,375,0.5410041404665659,0.46111111111111114,0.3887006234678879,0.46360529168185494
375,376,0.0,0.0,0.0,0.0
376,377,0.0,0.0,0.0,0.0
377,378,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
378,379,0.7045870578036447,0.3958333333333333,0.6038460365111256,0.5680888092160346
379,380,0.6457163453016531,0.5416666666666666,0.39063657657981815,0.526006529516046
380,381,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
381,382,0.62091045814915,0.3902777777777778,0.6004920319240751,0.5372267559503343
382,383,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
383,384,0.5029602948946028,0.375,0.39768498592996815,0.4252150936081904
384,385,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
385,386,0.5842592557527941,0.41805555555555557,0.3977986619611596,0.4667044910898364
386,387,0.0,0.0,0.0,0.0
387,388,0.5998719865228804,0.38333333333333336,0.5737066822178375,0.5189706673580171
388,389,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
389,390,0.39589147415728315,0.5125,0.08363858488523392,0.3306766863475057
390,391,0.7266437665291744,0.44722222222222224,0.7317488558916716,0.6352049482143561
391,392,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
392,393,0.4453035307038568,0.20416666666666666,0.5508858855407228,0.40011869430374875
393,394,0.381920162599681,0.35833333333333334,0.07130034549751543,0.2705179471435099
394,395,0.5660684891166011,0.4083333333333333,0.32692270484670183,0.4337748424322121
395,396,0.5081707944517845,0.3763888888888889,0.24424606506829089,0.3762685828029881
396,397,0.4060486032663251,0.36666666666666664,0.22166328964209883,0.3314595198583635
397,398,0.4743614830220523,0.09027777777777778,0.577521427905219,0.38072022956834967
398,399,0.2983739683267665,0.19444444444444445,0.24101086810425734,0.24460976029182277
399,400,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
400,401,0.49648491730535577,0.7041666666666667,0.7468373444060553,0.6491629761260259
401,402,0.29073507488483313,0.025,0.528065088863608,0.2812667212494804
402,403,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
403,404,0.1545684558190237,0.17916666666666667,0.02282079667711474,0.11885197305426837
404,405,0.0,0.0,0.0,0.0
405,406,0.24064764034309727,0.3611111111111111,0.053680153736892985,0.21847963506370047
406,407,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
407,408,0.38542338821072913,0.5083333333333333,0.2164150620020638,0.3700572611820421
408,409,0.4276690668849556,0.5222222222222223,0.3316840073759774,0.4271917654943851
409,410,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
410,411,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
411,412,0.0,0.0,0.0,0.0
412,413,0.5073487002353363,0.2861111111111111,0.412100469387733,0.4018534269113934
413,414,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
414,415,0.0,0.0,0.0,0.0
415,416,0.6487036764343087,0.5180555555555556,0.3420068749362034,0.5029220356420225
416,417,0.48625919663175415,0.35,0.40560799903885286,0.4139557318902023
417,418,0.3215536359058529,0.15833333333333333,0.36862920088334705,0.28283872337417776
418,419,0.0,0.0,0.0,0.0
419,420,0.0,0.0,0.0,0.0
420,421,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
421,422,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
422,423,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
423,424,0.0969116916282777,0.008333333333333333,0.17602169628786934,0.09375557374982679
424,425,0.0,0.0,0.0,0.0
425,426,0.4764232273570474,0.2861111111111111,0.3969288436987624,0.3864877273889736
426,427,0.1938233832565554,0.016666666666666666,0.3520433925757387,0.18751114749965359
427,428,0.2514801474473014,0.1875,0.19884249296498407,0.2126075468040952
428,429,0.5523345075518163,0.5930555555555556,0.28520453880638263,0.4768648673045848
429,430,0.6397015476071368,0.3888888888888889,0.4285632657243158,0.4857179007401138
430,431,0.4195504991238269,0.1597222222222222,0.5755645470377516,0.3849457561279335
