	Opsin_Class
S578	3
S579	1
S580	0
S581	2
S582	0
S583	0
S584	0
S585	1
S586	1
S587	0
S588	1
S589	0
S590	0
S591	2
S592	2
S593	0
S594	0
S595	1
S596	1
S597	0
S598	1
S599	1
S600	2
S601	2
S602	3
S603	1
S604	0
S605	0
S606	2
S607	2
S608	2
S609	1
S610	1
S611	2
S612	0
S613	0
S614	0
S615	0
S616	0
S617	0
S618	0
S619	0
S620	0
S621	0
S622	0
S623	0
S624	0
S625	0
S626	0
S627	0
S628	0
S629	0
S630	0
S631	1
S632	1
S633	2
S634	2
S635	2
S636	2
S637	0
S638	0
S639	0
S640	1
S641	6
S642	1
S643	2
S644	2
S645	0
S646	0
S647	2
S648	0
S649	9
S650	9
S651	9
S652	9
S653	9
S654	9
S655	9
S656	9
S657	9
S658	9
S659	9
S660	9
S661	9
S662	9
S663	9
S664	9
S665	9
S666	9
S667	9
S668	9
S669	9
S670	7
S671	6
S672	0
S673	1
S674	0
S675	0
S676	3
S677	3
S678	0
S679	0
S680	1
S681	1
S682	3
S683	2
S684	1
S685	2
S686	1
S687	1
S688	7
S689	6
S690	4
S691	4
S692	4
S693	3
S694	3
S695	3
S696	1
S697	1
S698	1
S699	3
S700	0
S701	0
S702	2
S703	0
S704	1
S705	1
S706	3
S707	3
S708	4
S709	4
S710	6
S711	5
S712	9
S713	9
S714	9
S715	9
S716	9
S717	9
S718	9
S719	9
S720	9
S721	9
S722	9
S723	9
S724	9
S725	9
