	Opsin_Class
S257	14
S258	14
S259	14
S260	13
S261	14
S262	14
S263	14
S264	14
S265	14
S266	14
S267	13
S268	13
S269	13
S270	14
S271	13
S272	13
S273	13
S274	14
S275	13
S276	14
S277	14
S278	14
S279	14
S280	14
S281	5
S282	10
S283	12
S284	12
S285	12
S286	12
S287	12
S288	8
S289	11
S290	11
S291	6
S292	10
S293	10
S294	9
S295	11
S296	10
S297	10
S298	11
S299	7
S300	12
S301	11
S302	8
S303	5
S304	11
S305	11
S306	11
S307	0
S308	4
S309	0
S310	2
S311	3
S312	2
S313	4
S314	0
S315	0
S316	4
S317	4
S318	5
S319	4
S320	5
S321	14
S322	14
S323	14
S324	14
S325	14
S326	13
S327	14
S328	14
S329	11
S330	11
S331	11
S332	12
S333	14
S334	13
S335	13
S336	12
S337	13
S338	6
S339	6
S340	0
S341	0
S342	3
S343	3
S344	2
S345	1
S346	3
S347	2
S348	2
S349	2
S350	0
S351	0
S352	4
S353	9
S354	14
S355	0
S356	14
S357	5
S358	4
S359	13
S360	13
S361	12
S362	13
S363	13
S364	13
S365	6
S366	11
S367	13
S368	12
S369	13
S370	13
S371	13
S372	14
S373	14
S374	12
S375	12
S376	12
S377	6
S378	4
S379	3
S380	0
S381	11
S382	0
S383	4
S384	9
S385	8
S386	4
S387	0
S388	2
S389	4
S390	1
S391	1
S392	1
S393	0
S394	2
S395	2
S396	2
S397	4
S398	4
S399	1
S400	11
S401	11
S402	10
S403	9
S404	3
S405	4
S406	3
S407	4
S408	2
S409	7
S410	8
S411	7
S412	10
S413	7
S414	5
S415	6
S416	2
S417	6
S418	6
S419	6
S420	6
S421	6
S422	6
S423	5
S424	4
S425	5
S426	4
S427	4
S428	4
S429	14
S430	9
S431	9
S432	3
S433	5
S434	6
S435	6
S436	13
S437	10
S438	12
S439	12
S440	11
S441	12
S442	12
S443	12
S444	12
S445	12
S446	8
S447	11
S448	11
S449	9
S450	11
S451	9
S452	8
S453	11
S454	4
S455	1
S456	1
S457	4
S458	4
S459	4
S460	4
S461	4
S462	4
S463	4
S464	4
S465	4
S466	5
S467	12
S468	8
S469	5
S470	12
S471	8
S472	5
S473	12
S474	6
S475	6
S476	12
S477	7
S478	5
S479	12
S480	7
S481	5
S482	12
S483	8
S484	8
S485	12
S486	11
S487	12
S488	11
S489	11
S490	12
S491	11
S492	11
S493	12
S494	12
S495	12
S496	12
S497	12
S498	12
S499	12
S500	12
S501	12
S502	12
S503	12
S504	6
S505	5
S506	5
S507	5
S508	6
S509	3
S510	5
S511	5
S512	4
S513	3
S514	4
S515	3
S516	5
S517	3
S518	3
S519	5
S520	3
S521	3
S522	3
S523	3
S524	3
S525	3
S526	3
S527	3
S528	3
S529	3
S530	3
S531	4
S532	5
S533	5
S534	5
S535	4
S536	4
S537	4
S538	5
S539	5
S540	5
S541	5
S542	7
S543	6
S544	6
S545	9
S546	5
S547	5
S548	6
S549	7
S550	11
S551	13
S552	12
S553	6
S554	4
S555	2
S556	12
S557	11
S558	10
S559	4
S560	11
S561	11
S562	7
S563	11
S564	6
S565	11
S566	7
S567	12
S568	12
S569	11
S570	11
S571	11
S572	11
S573	11
S574	11
S575	7
S576	7
S577	7
S578	7
S579	11
S580	7
S581	7
S582	6
S583	12
S584	7
S585	9
S586	9
S587	8
S588	9
S589	6
S590	8
S591	8
S592	12
S593	7
S594	6
S595	9
S596	1
S597	1
S598	0
S599	1
S600	1
S601	2
S602	0
S603	1
S604	1
S605	1
S606	1
S607	1
S608	1
S609	2
S610	2
S611	3
S612	2
S613	0
S614	2
S615	0
S616	2
S617	0
S618	2
S619	2
S620	2
S621	2
S622	2
S623	2
S624	2
S625	1
S626	2
S627	2
S628	2
S629	1
S630	3
S631	1
S632	1
S633	0
S634	2
S635	3
S636	2
S637	3
S638	4
S639	4
S640	1
S641	1
S642	3
S643	3
S644	3
S645	3
S646	3
S647	0
S648	2
S649	3
S650	2
S651	3
S652	4
S653	4
S654	1
S655	0
S656	3
S657	1
S658	0
S659	0
S660	1
S661	2
S662	0
S663	1
S664	0
S665	1
S666	2
S667	2
S668	1
S669	0
S670	1
S671	1
S672	0
S673	1
S674	1
S675	2
S676	2
S677	4
S678	2
S679	1
S680	1
S681	3
S682	3
S683	3
S684	2
S685	1
S686	3
S687	0
S688	0
S689	0
S690	0
S691	0
S692	0
S693	0
S694	0
S695	0
S696	0
S697	0
S698	0
S699	0
S700	0
S701	0
S702	0
S703	0
S704	0
S705	0
S706	2
S707	1
S708	3
S709	3
S710	3
S711	3
S712	1
S713	0
S714	0
S715	2
S716	9
S717	2
S718	3
S719	3
S720	0
S721	1
S722	3
S723	1
S724	14
S725	14
S726	1
S727	12
S728	4
S729	0
S730	0
S731	5
S732	14
S733	11
S734	14
S735	11
S736	14
S737	0
S738	11
S739	12
S740	12
S741	14
S742	14
S743	14
S744	14
S745	14
S746	13
S747	14
S748	14
S749	13
S750	14
S751	13
S752	13
S753	13
S754	14
S755	14
S756	13
S757	13
S758	13
S759	13
S760	10
S761	9
S762	0
S763	2
S764	0
S765	0
S766	4
S767	4
S768	0
S769	0
S770	2
S771	1
S772	4
S773	3
S774	1
S775	3
S776	2
S777	1
S778	13
S779	14
S780	13
S781	14
S782	14
S783	13
S784	13
S785	13
S786	12
S787	9
S788	9
S789	6
S790	6
S791	6
S792	4
S793	5
S794	4
S795	1
S796	2
S797	2
S798	4
S799	0
S800	0
S801	3
S802	0
S803	2
S804	2
S805	4
S806	4
S807	6
S808	6
S809	8
S810	7
S811	14
S812	13
S813	13
S814	13
S815	13
S816	13
S817	13
S818	13
S819	13
S820	13
S821	14
S822	14
S823	14
S824	14
