	Opsin_Class
S213	9
S214	11
S215	11
S216	10
S217	11
S218	10
S219	11
S220	11
S221	11
S222	10
S223	10
S224	10
S225	0
S226	0
S227	4
S228	0
S229	0
S230	1
S231	3
S232	0
S233	3
S234	2
S235	3
S236	0
S237	0
S238	4
S239	4
S240	4
S241	4
S242	8
S243	7
S244	7
S245	11
S246	10
S247	11
S248	6
S249	5
S250	5
S251	5
S252	6
S253	11
S254	12
S255	13
S256	13
S257	12
S258	13
S259	8
S260	11
S261	12
S262	7
S263	11
S264	11
S265	10
S266	12
S267	11
S268	11
S269	11
S270	7
S271	12
S272	12
S273	9
S274	6
S275	11
S276	12
S277	12
S278	0
S279	4
S280	0
S281	3
S282	3
S283	2
S284	4
S285	0
S286	0
S287	5
S288	4
S289	5
S290	5
S291	5
S292	14
S293	14
S294	14
S295	14
S296	14
S297	13
S298	14
S299	14
S300	12
S301	12
S302	12
S303	13
S304	14
S305	14
S306	13
S307	13
S308	13
S309	6
S310	6
S311	0
S312	0
S313	3
S314	3
S315	2
S316	2
S317	3
S318	2
S319	2
S320	3
S321	0
S322	0
S323	14
S324	0
S325	14
S326	14
S327	14
S328	13
S329	13
S330	13
S331	6
S332	4
S333	3
S334	0
S335	11
S336	0
S337	5
S338	9
S339	8
S340	4
S341	0
S342	3
S343	4
S344	1
S345	1
S346	2
S347	0
S348	2
S349	2
S350	2
S351	4
S352	4
S353	1
S354	12
S355	12
S356	11
S357	10
S358	3
S359	4
S360	4
S361	4
S362	2
S363	8
S364	8
S365	8
S366	11
S367	8
S368	6
S369	7
S370	2
S371	6
S372	7
S373	7
S374	7
S375	7
S376	6
S377	14
S378	10
S379	10
S380	3
S381	5
S382	7
S383	6
S384	14
S385	11
S386	4
S387	1
S388	1
S389	4
S390	5
S391	13
S392	8
S393	5
S394	13
S395	9
S396	5
S397	13
S398	7
S399	6
S400	13
S401	8
S402	5
S403	13
S404	8
S405	6
S406	13
S407	9
S408	9
S409	13
S410	12
S411	12
S412	12
S413	12
S414	12
S415	12
S416	12
S417	13
S418	13
S419	13
S420	13
S421	13
S422	13
S423	13
S424	13
S425	12
S426	13
S427	13
S428	6
S429	5
S430	6
S431	6
S432	7
S433	3
S434	5
S435	6
S436	4
S437	3
S438	5
S439	3
S440	5
S441	3
S442	3
S443	5
S444	3
S445	4
S446	3
S447	4
S448	3
S449	4
S450	4
S451	4
S452	4
S453	4
S454	3
S455	4
S456	5
S457	5
S458	5
S459	5
S460	4
S461	5
S462	5
S463	5
S464	5
S465	5
S466	7
S467	7
S468	6
S469	10
S470	5
S471	6
S472	6
S473	7
S474	12
S475	13
S476	13
S477	7
S478	4
S479	2
S480	12
S481	12
S482	11
S483	5
S484	12
S485	12
S486	8
S487	12
S488	7
S489	12
S490	7
S491	12
S492	13
S493	12
S494	12
S495	12
S496	12
S497	12
S498	11
S499	7
S500	8
S501	8
S502	8
S503	12
S504	7
S505	8
S506	6
S507	13
S508	7
S509	10
S510	9
S511	9
S512	10
S513	6
S514	9
S515	9
S516	12
S517	8
S518	7
S519	10
S520	1
S521	1
S522	0
S523	1
S524	1
S525	3
S526	0
S527	1
S528	1
S529	2
S530	1
S531	1
S532	1
S533	3
S534	3
S535	3
S536	3
S537	0
S538	2
S539	0
S540	2
S541	0
S542	2
S543	2
S544	2
S545	2
S546	2
S547	2
S548	2
S549	1
S550	3
S551	3
S552	2
S553	1
S554	3
S555	1
S556	1
S557	0
S558	2
S559	3
S560	3
S561	4
S562	4
S563	4
S564	1
S565	1
S566	3
S567	3
S568	3
S569	3
S570	4
S571	0
S572	2
S573	3
S574	2
S575	3
S576	4
S577	4
S578	1
S579	0
S580	3
S581	1
S582	0
S583	0
S584	1
S585	2
S586	0
S587	1
S588	0
S589	1
S590	3
S591	3
S592	1
S593	0
S594	2
S595	1
S596	0
S597	2
S598	2
S599	2
S600	2
S601	4
S602	2
S603	1
S604	1
S605	3
S606	3
S607	3
S608	2
S609	2
S610	3
S611	0
S612	0
S613	0
S614	0
S615	0
S616	0
S617	0
S618	0
S619	0
S620	0
S621	0
S622	0
S623	0
S624	0
S625	0
S626	0
S627	0
S628	0
S629	0
S630	2
S631	2
S632	3
S633	3
S634	3
S635	3
S636	1
S637	0
S638	0
S639	2
S640	10
S641	2
S642	3
S643	3
S644	0
S645	1
S646	3
S647	1
S648	14
S649	14
S650	14
S651	14
S652	14
S653	14
S654	14
S655	14
S656	14
S657	14
S658	13
S659	14
S660	13
S661	13
S662	13
S663	14
S664	14
S665	13
S666	13
S667	13
S668	11
S669	10
S670	0
S671	2
S672	0
S673	0
S674	4
S675	4
S676	0
S677	0
S678	2
S679	1
S680	4
S681	3
S682	2
S683	3
S684	2
S685	2
S686	10
S687	10
S688	6
S689	6
S690	6
S691	4
S692	5
S693	4
S694	2
S695	2
S696	2
S697	4
S698	0
S699	0
S700	3
S701	0
S702	2
S703	2
S704	4
S705	4
S706	7
S707	6
S708	9
S709	8
S710	14
S711	14
S712	13
S713	13
S714	13
S715	13
S716	14
S717	14
S718	14
S719	14
S720	14
S721	14
S722	14
S723	14
S724	14
S725	14
S726	14
S727	14
S728	13
S729	13
S730	14
S731	14
S732	13
S733	13
S734	13
S735	14
S736	12
S737	13
S738	5
S739	5
S740	4
S741	4
S742	4
S743	5
S744	4
S745	5
S746	5
S747	4
S748	5
S749	5
S750	5
S751	5
S752	5
S753	5
S754	5
S755	5
