	Lambda_Max	Species	Opsin_Family	Accession
S49	497.00000	Bos_taurus	Rh1	NM_001014890_E134L
S50	495.50000	Bos_taurus	Rh1	NM_001014890_E134Q
S51	499.00000	Bos_taurus	Rh1	NM_001014890_R135L
S52	493.00000	Bos_taurus	Rh1	NM_001014890_H211C
S53	493.50000	Bos_taurus	Rh1	NM_001014890_H211F
S54	496.50000	Bos_taurus	Rh1	NM_001014890_E122I_D83G
S55	491.00000	Bos_taurus	Rh1	NM_001014890_E122I_M86E
S56	497.50000	Bos_taurus	Rh1	NM_001014890_E134L_R135L
S57	496.00000	Bos_taurus	Rh1	NM_001014890_E134R_R135E
S58	500.00000	Bos_taurus	Rh1	NM_001014890_T97S
S59	500.00000	Bos_taurus	Rh1	NM_001014890_F116S
S60	493.00000	Bos_taurus	Rh1	NM_001014890_E122M
S61	500.00000	Bos_taurus	Rh1	NM_001014890_A164G
S62	500.00000	Cyprichromis_leptosoma	Rh1	AB458118.1
S63	491.00000	Paracyprichromis_brieni	Rh1	AB458120.1
S64	497.00000	Xenotilapia_papilio	Rh1	AB457996.1
S65	494.00000	Paracyprichromis_brieni	Rh1	AB458121.1
S66	493.00000	Neolamprologus_ventralis	Rh1	AB458138.1
S67	492.00000	Paracyprichromis_nigripinnis	Rh1	AB458122.1
S68	489.00000	Cyprichromis_pavo	Rh1	AB458119.1
S69	498.00000	Cyphotilapia_frontosa	Rh1	AB084929_S292A
S70	500.00000	Trematocara_macrostoma	Rh1	AB084945_S292A
S71	491.00000	Oreochromis_niloticus	Rh1	AB084938_A292S
S72	500.00000	Baileychromis_centropomoides	Rh1	AB185217_N83D
S73	503.00000	Pallidochromis_tokolosh	Rh1	AB185229_N83D
S74	502.00000	Diplotaxodon_macrops	Rh1	AB185220_N83D
S75	494.00000	Limnochromis_staneri	Rh1	AB185225_D83N
S76	501.00000	Rod_ancestor_pigmenta	Rh1	pigmenta
S77	501.00000	Rod_ancestor_pigmentb	Rh1	pigmentb
S78	501.00000	Rod_ancestor_pigmentc	Rh1	pigmentc
S79	501.00000	Rod_ancestor_pigmentd	Rh1	pigmentd
S80	482.00000	Rod_ancestor_pigmente	Rh1	pigmente
S81	502.00000	Rod_ancestor_pigmentf	Rh1	pigmentf
S82	501.00000	Rod_ancestor_pigmentg	Rh1	pigmentg
S83	502.00000	Rod_ancestor_pigmenth	Rh1	pigmenth
S84	496.00000	Rod_ancestor_pigmenti	Rh1	pigmenti
S85	485.00000	Rod_ancestor_pigmentj	Rh1	pigmentj
S86	486.00000	Rod_ancestor_pigmenti	Rh1	pigmentk
S87	486.00000	Conger_myriaster	Rh1	AB043817.1
S88	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S89	496.00000	Loxodonta_africana	Rh1	AY686752.1
S90	483.00000	Sebastolobus_altivelis	Rh1	DQ490124
S91	526.00000	Aristostomias_scintillans	Rh1	EU407248.1
S92	489.00000	Chauliodus_macouni	Rh1	EU407250.1
S93	492.00000	Stenobrachius_leucopsarus	Rh1	EU407251.1
S94	507.00000	Lepidopus_fitchi	Rh1	EU407252.1
S95	486.00000	Lepidopus_fitchi	Rh1	EU407253.1
S96	491.00000	Anolis_carolinensis	Rh1	L31503
S97	479.00000	Anguilla_japonica	Rh1	LC464070.1
S98	504.00000	Astyanax_mexicanus	Rh1	U12328.1
S99	489.00000	Rod_ancestor_pigmentc_A292S	Rh1	pigmentc_A292S
S100	502.00000	Rod_ancestor_pigmentd_A292S	Rh1	pigmentd_A292S
S101	491.00000	Rod_ancestor_pigmentg_A292S	Rh1	pigmentg_A292S
S102	498.00000	Rod_ancestor_pigmenta_D83N	Rh1	pigmenta_D83N
S103	479.00000	Rod_ancestor_pigmente_D83N	Rh1	pigmente_D83N
S104	488.00000	Rod_ancestor_pigmenta_D83N_A292S	Rh1	pigmenta_D83N_A292S
S105	486.00000	Rod_ancestor_pigmentg_D83N_A292S	Rh1	pigmentg_D83N_A292S
S106	482.00000	Rod_ancestor_pigmenth_D83N_A292S	Rh1	pigmenth_D83N_A292S
S107	482.00000	Rod_ancestor_pigmenti_D83N_A292S	Rh1	pigmenti_D83N_A292S
S108	497.00000	Rod_ancestor_pigmenta_D83N_I214T	Rh1	pigmenta_D83N_I214T
S109	526.00000	Rod_ancestor_pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I	Rh1	pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I
S110	501.00000	Rod_ancestor_pigmentb_E122I	Rh1	pigmentb_E122I
S111	507.00000	Rod_ancestor_pigmentb_E122I_F261Y	Rh1	pigmentb_E122I_F261Y
S112	484.00000	Rod_ancestor_pigmentf_E122M_A292S	Rh1	pigmentf_E122M_A292S
S113	504.00000	Rod_ancestor_pigmentf_E122M_F261Y	Rh1	pigmentf_E122M_F261Y
S114	490.00000	Rod_ancestor_pigmentf_E122M_F261Y_A292S	Rh1	pigmentf_E122M_F261Y_A292S
S115	489.00000	Rod_ancestor_pigmentf_E122Q	Rh1	pigmentf_E122Q
S116	478.00000	Rod_ancestor_pigmenta_E122Q_A292S	Rh1	pigmenta_E122Q_A292S
S117	511.00000	Rod_ancestor_pigmentb_F261Y	Rh1	pigmentb_F261Y
S118	503.00000	Rod_ancestor_pigmenti_F261Y	Rh1	pigmenti_F261Y
S119	488.00000	Rod_ancestor_pigmentd_N195A_A292S	Rh1	pigmentd_N195A_A292S
S120	488.00000	Rod_ancestor_pigmentd_P194R_A292S	Rh1	pigmentd_P194R_A292S
S121	501.00000	Rod_ancestor_pigmentd_P194R_N195A	Rh1	pigmentd_P194R_N195A
S122	488.00000	Rod_ancestor_pigmentd_P194R_N195A_A292S	Rh1	pigmentd_P194R_N195A_A292S
S123	494.00000	Rod_ancestor_pigmenth_Y96V_Y102F	Rh1	pigmenth_Y96V_Y102F
S124	491.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D
S125	492.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D
S126	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D
S127	501.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D_S292A
S128	504.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D_S292A
S129	495.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D_S292A
S130	499.00000	Stenobrachius_leucopsarus	Rh1	EU407251_Q122E
S131	498.00000	Conger_myriaster	Rh1	AB043817.1_S292A
S132	494.00000	Sebastolobus_altivelis	Rh1	DQ490124_S292A
S133	501.00000	Chauliodus_macouni	Rh1	EU407250.1_S292A
S134	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_S292A
S135	502.00000	Lepidopus_fitchi	Rh1	EU407252.1_Y261F
S136	483.00000	Sebastolobus_altivelis	Rh1	DQ490124.1
S137	500.00000	Bos_tarus	Rh1	P02699.1
S138	489.00000	Tursiops_truncatus	Rh1	NM_001280659.1
S139	524.00000	Tursiops_truncatus	LWS	XM_019933644.2
S140	552.00000	Tursiops_truncatus	LWS	XM_019933644.2_S292A
S141	489.00000	Bos_tarus	Rh1	NM_001014890_A292S
S142	501.00000	Bos_tarus	Rh1	NM_001014890_A299S
S143	485.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S
S144	489.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S_A299S
S145	492.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_348
S146	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_306-NM_001014890_307_348
S147	499.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_306-DQ490124.1_307_348
S148	494.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1[S292A]_1_306-NM_001014890_307_348
S149	491.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_306-DQ490124.1_307_348
S150	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_348
S151	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_348
S152	494.00000	Sebastolobus_altivelis	Rh1	DQ490124.1_S292A
S153	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_306-NM_001014890_307_348
S154	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890[A292S]_1_306-DQ490124.1_307_348
S155	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_306-NM_001014890_307_348
S156	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_306-DQ490124.1_307_348
S157	490.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_348
S158	467.00000	Gekko_gekko	Rh2	M92035
S159	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A
S160	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_L52M
S161	492.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A_L52M
S162	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N
S163	488.00000	Anolis_carolinensis	Rh2	NM_001291394.1_T97A
S164	481.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N_M86T_T97A
S165	495.00000	Anolis_carolinensis	Rh2	NM_001291394.1_S164A
S166	512.00000	Anolis_carolinensis	Rh2	NM_001291394.1_Q122E
S167	511.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49S_Q122E_S164A
S168	467.00000	Gekko_gekko	Rh2	M92035_A164S
S169	480.00000	Gekko_gekko	Rh2	M92035_Q122E
S170	452.00000	Oryzias_latipes	Rh2	AB223053.1
S171	459.00000	Oryzias_latipes	Rh2	AB223053.1_S292A
S172	469.00000	Oryzias_latipes	Rh2	AB223053.1_Q122E_S292A
S173	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1
S174	491.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_348
S175	482.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_70-M92035.1_71_100-AH007735.2_101_348
S176	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_105-M92035.1_106_139-AH007735.2_140_149-M92035.1_150_172-AH007735.2_173_348
S177	494.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_348
S178	493.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_243-M92035.1_244_273-AH007735.2_274_348
S179	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_284-M92035.1_285_309-AH007735.2_310_348
S180	471.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_70-M92035.1_71_100-AH007735.2_101_105-M92035.1_106_139-AH007735.2_140-149-M92035.1_150_172-AH007735.2_173_348
S181	489.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_243-M92035.1_244_273-AH007735.2_274_284-M92035.1_285_309-AH007735.2_310_348
S182	467.00000	Danio_rerio	Rh2	AB087805.2
S183	467.00000	Danio_rerio	Rh2	AB087806.2
S184	488.00000	Danio_rerio	Rh2	AB087807.1
S185	505.00000	Danio_rerio	Rh2	AB087808.2
S186	464.00000	Danio_rerio	Rh2	AB087805.2_K36Q
S187	464.00000	Danio_rerio	Rh2	AB087805.2_L46F
S188	463.00000	Danio_rerio	Rh2	AB087805.2_I49C
S189	465.00000	Danio_rerio	Rh2	AB087805.2_V60L
S190	467.00000	Danio_rerio	Rh2	AB087805.2_S94T
S191	465.00000	Danio_rerio	Rh2	AB087805.2_L108T
S192	468.00000	Danio_rerio	Rh2	AB087805.2_V111A
S193	466.00000	Danio_rerio	Rh2	AB087805.2_M112I
S194	470.00000	Danio_rerio	Rh2	AB087805.2_V111A_M112I
S195	471.00000	Danio_rerio	Rh2	AB087805.2_S94T_V111A_M112I
S196	472.00000	Danio_rerio	Rh2	AB087805.2_L46F_I49C_S94T_V111A_M112I
S197	536.00000	Petromyzon_marinus	Rh1	EU571209.1
S198	501.00000	Petromyzon_marinus	LWS	AH005459.2
S199	554.00000	Petromyzon_marinus	Rh1	EU571209.1_P164S
S200	562.80000	Carassius_auratus	LWS	L11867.1
S201	544.00000	Carassius_auratus	LWS	L11867.1_S164P
S202	463.00000	Cottusgobio_gobio	SWS2	AJ430489.1
S203	458.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T118A
S204	452.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T118G
S205	465.00000	Cottusgobio_gobio	SWS2	AJ430489.1_P215G
S206	453.00000	Cottusgobio_gobio	SWS2	AJ430489.1_T269A
S207	499.00000	Bos_tarus	Rh1	NM_001014890_E181A
S208	500.00000	Bos_tarus	Rh1	NM_001014890_E181N
S209	497.00000	Bos_tarus	Rh1	NM_001014890_E181D
S210	499.00000	Bos_tarus	Rh1	NM_001014890_E181C
S211	508.00000	Bos_tarus	Rh1	NM_001014890_E181Q
S212	500.00000	Bos_tarus	Rh1	NM_001014890_E181G
S213	497.00000	Bos_tarus	Rh1	NM_001014890_E181H
S214	501.00000	Bos_tarus	Rh1	NM_001014890_E181I
S215	502.00000	Bos_tarus	Rh1	NM_001014890_E181L
S216	500.00000	Bos_tarus	Rh1	NM_001014890_E181M
S217	501.00000	Bos_tarus	Rh1	NM_001014890_E181F
S218	500.00000	Bos_tarus	Rh1	NM_001014890_E181S
S219	502.00000	Bos_tarus	Rh1	NM_001014890_E181T
S220	502.00000	Bos_tarus	Rh1	NM_001014890_E181W
S221	501.00000	Bos_tarus	Rh1	NM_001014890_E181Y
S222	498.00000	Bos_tarus	Rh1	NM_001014890_E181V
S223	499.00000	Bos_tarus	Rh1	NM_001014890_E113Q
S224	500.00000	Bos_tarus	Rh1	NM_001014890_E113Q_E181D
S225	359.00000	Carassius_auratus	SWS1	D85863.1
S226	355.00000	Danio_rerio	SWS1	AB087810.1
S227	423.00000	Xenopus_laevis	SWS1	U23463.1
S228	356.00000	Ambystoma_tigrinum	SWS1	AF038948.1
S229	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S230	360.00000	Gekko_gecko	SWS1	AY024356.1
S231	393.00000	Columba_livia	SWS1	AH007798.2
S232	359.00000	Taeniopygia_guttata	SWS1	AF222331.1
S233	415.00000	Gallus_gallus	SWS1	M92039.1
S234	363.00000	Melopsittacus_undulatus	SWS1	Y11787.1
S235	414.00000	Homo_sapiens	SWS1	AH003620.2
S236	359.00000	Mus_musculus	SWS1	U49720.1
S237	358.00000	Rattus_norvegicus	SWS1	U63972.1
S238	438.00000	Bos_taurus	SWS1	U92557.1
S239	420.00000	Cavia_porcellus	SWS1	AY552608.1
S240	419.00000	Loxodonta_africana	SWS1	AY686753.1
S241	420.00000	Notamacropus_eugenii	SWS1	AY286017.1
S242	489.00000	Delphinus_delphis	Rh0	AF055314
S243	488.00000	Globicephala_melas	Rh0	AF055315
S244	484.00000	Mesoplodon_bidens	Rh0	AF055316
S245	501.00000	Phoca_vitulina	Rh0	AF055317
S246	498.00000	Phoca_groenlandicus	Rh0	AF055318
S247	502.00000	Trichechus_manatus	Rh0	AF055319
S248	465.00000	Cottus_gobio	SWS2	AJ430489_P215G
S249	453.00000	Cottus_gobio	SWS2	AJ430489_T269A
S250	452.00000	Cottus_gobio	SWS2	AJ430489_T118G
S251	458.00000	Cottus_gobio	SWS2	AJ430489_T118A
S252	571.00000	Papilio_xuthus	Rh3	AB007425.1
S253	540.00000	Papilio_xuthus	Rh1	AB007423.1
S254	463.00000	Cottus_gobio	SWS2	AJ430489
S255	502.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S
S256	510.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y
S257	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A269T
S258	520.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y_A269T
S259	512.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_F261Y
S260	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_A269T
S261	492.00000	Carassius_auratus	Rh1	L11863.1
S262	503.00000	Astyanax_mexicanus	Rh1	U12328.1
S263	505.00000	Gambusia_holbrooki	Rh1	Y11146.1
S264	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S265	502.00000	Xenopus_laevis	Rh1	L07770.1
S266	502.00000	Lithobates_pipiens	Rh1	S49004
S267	500.00000	Lithobates_catesbeianus	Rh1	S79840
S268	506.00000	Ambystoma_tigrinum	Rh1	U36574
S269	502.00000	Columba_livia	Rh1	AH007730.2
S270	502.00000	Taeniopygia_guttata	Rh1	AF222329
S271	503.00000	Gallus_gallus	Rh1	D00702
S272	488.00000	Tursiops_truncatus	Rh1	AF055456
S273	511.00000	Carassius_auratus	Rh2	L11865
S274	506.00000	Carassius_auratus	Rh2	L11866
S275	495.00000	Anolis_carolinensis	Rh2	AH007735.2
S276	467.00000	Gekko_gecko	Rh2	M92035.1
S277	503.00000	Columba_livia	Rh2	AH007731.2
S278	505.00000	Taeniopygia_guttata	Rh2	AF222330
S279	508.00000	Gallus_gallus	Rh2	M92038
S280	359.00000	Carassius_auratus	SWS1	D85863
S281	425.00000	Xenopus_laevis	SWS1	U23463
S282	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S283	393.00000	Columba_livia	SWS1	AH007798.2
S284	415.00000	Gallus_gallus	SWS1	M92039
S285	371.00000	Melopsittacus_undulatus	SWS1	Y11787
S286	424.00000	Homo_sapiens	SWS1	AH003620.2
S287	359.00000	Mus_musculus	SWS1	U49720
S288	358.00000	Rattus_norvegicus	SWS1	U63972.1
S289	441.00000	Carassius_auratus	SWS2	L11864
S290	437.00000	Anolis_carolinensis	SWS2	AF133907
S291	448.00000	Columba_livia	SWS2	AH007799.2
S292	441.00000	Taeniopygia_guttata	SWS2	AF222332
S293	455.00000	Gallus_gallus	SWS2	M92037
S294	559.00000	Carassius_auratus	LWS	L11867
S295	561.00000	Anolis_carolinensis	LWS	U08131
S296	558.00000	Columba_livia	LWS	AH007800.2
S297	560.00000	Taeniopygia_guttata	LWS	AF222333.1
S298	571.00000	Gallus_gallus	LWS	M62903.1
S299	530.00000	Homo_sapiens	LWS	AH005296.2
S300	560.00000	Homo_sapiens	LWS	AH005298.2
S301	553.00000	Capra_hircus	LWS	AH006594.2
S302	509.00000	Oryctolagus_cuniculus	MWS	AH006945.2
S303	508.00000	Mus_musculus	MWS	AF011389.1
S304	509.00000	Rattus_norvegicus	MWS	AH006946.2
S305	524.00000	Tursiops_truncatus	LWS	AF055457
S306	553.00000	Felis_catus	LWS	AF132040
S307	545.00000	Equus_caballus	LWS	AF132043
S308	531.00000	Odocoileus_virginianus	LWS	AF132041
S309	516.00000	Cavia_porcellus	MWS	AF132042.1
S310	532.00000	Neosciurus_carolinensis	LWS	AF132044
S311	482.00000	Anolis_carolinensis	MWS	AH007737.2
S312	481.00000	Columba_livia	MWS	U50598.1
S313	359.00000	Taeniopygia_guttata	SWS	AF222331
S314	359.00000	Taeniopygia_guttata	SWS	AF222331_I85V
S315	397.00000	Taeniopygia_guttata	SWS	AF222331_C84S
S316	397.00000	Taeniopygia_guttata	SWS	AF222331_C84S_I85V
S317	382.00000	Taeniopygia_guttata	SWS	AF222331_C84G
S318	363.00000	Taeniopygia_guttata	SWS	AF222331_C84G_I85F
S319	405.00000	Gallus_gallus	SWS	M92039_V85I
S320	369.00000	Gallus_gallus	SWS	M92039_S84C
S321	371.00000	Gallus_gallus	SWS	M92039_S84C_V85I
S322	389.00000	Columba_livia	SWS1	AH007798.2_V85I
S323	358.00000	Columba_livia	SWS1	AH007798.2_S84C
S324	359.00000	Columba_livia	SWS1	AH007798.2_S84C_V85I
S325	569.00000	Eumaeus_atala	LWRh	MN831883.1
S326	352.00000	Eumaeus_atala	UVRh	MN831884.1
S327	578.00000	Arhopala_japonica	LWRh	MN831885.1
S328	571.00000	Poecilia_reticulata	LWS1	AB748985.1
S329	562.00000	Poecilia_reticulata	LWS1	AB748984
S330	516.00000	Poecilia_reticulata	LWS2	LC127183
S331	519.00000	Poecilia_reticulata	LWS3	LC127184
S332	516.00000	Poecilia_reticulata	RH2-1	LC127186
S333	476.00000	Poecilia_reticulata	RH2-2	LC127187
S334	438.00000	Poecilia_reticulata	SWS2-A	LC127188
S335	408.00000	Poecilia_reticulata	SWS2-B	LC127189
S336	353.00000	Poecilia_reticulata	SWS1	LC127190
S337	503.00000	Poecilia_reticulata	RH1	LC127191
S338	358.00000	Geotria_australis	SWS1	KT749677
S339	439.00000	Geotria_australis	SWS2	AY366492
S340	497.00000	Geotria_australis	RhA	AY366493
S341	492.00000	Geotria_australis	RhB	AY366494
S342	420.00000	Cavia_porcellus	SWS1	AY552608
S343	358.00000	Carassius_auratus	SWS1	D85863
S344	388.00000	Columba_livia	SWS1	AJ238856
S345	419.00000	Gallus_gallus	SWS1	NM_205438.1
S346	360.00000	Melopsittacus_undulatus	SWS1	NM_001311081
S347	360.00000	Anolis_carolinensis	SWS1	AH007736
S348	363.00000	Carassius_auratus	SWS1	D85863_F86S
S349	357.00000	Columba_livia	SWS1	AJ238856_S86F
S350	366.00000	Columba_livia	SWS1	AJ238856_V116L
S351	380.00000	Columba_livia	SWS1	AJ238856_V116M
S352	372.00000	Gallus_gallus	SWS1	NM_205438.1_S86F
S353	419.00000	Gallus_gallus	SWS1	NM_205438.1_V116L
S354	420.00000	Melopsittacus_undulatus	SWS1	NM_001311081_C90S
S355	361.00000	Melopsittacus_undulatus	SWS1	NM_001311081_A86S
S356	508.00000	Phreatichthys_andruzzii	Rh1	JQ413240
S357	505.00000	Phreatichthys_andruzzii	exoRh	GQ404491.1
S358	502.00000	Danio_rerio	Rh1	AF109368
S359	498.00000	Danio_rerio	exoRh	NM131212.2
S360	414.00000	Homo_sapiens	OPN1SW	DQ822478.1
S361	424.00000	Homo_sapiens	OPN1SW	DQ822478.1_S289A
S362	417.00000	Homo_sapiens	OPN1SW	DQ822478.1_S87G
S363	434.00000	Homo_sapiens	OPN1SW	DQ822478.1_Y262W
S364	383.00000	Platynereis_dumerilii	LWS	AY692353.1
S365	491.00000	Platynereis_dumerilii	LWS	AY692353.1_K94T
S366	492.00000	Platynereis_dumerilii	LWS	AY692353.1_K94A
S367	491.00000	Platynereis_dumerilii	LWS	AY692353.1_K94S
S368	502.00000	Platynereis_dumerilii	LWS	AY692353.1_K94V
S369	489.00000	Platynereis_dumerilii	LWS	AY692353.1_K94D
S370	461.00000	Platynereis_dumerilii	LWS	AY692353.1_K94E
S371	484.00000	Platynereis_dumerilii	LWS	AY692353.1_K94H
S372	377.00000	Platynereis_dumerilii	LWS	AY692353.1_K94R
S373	480.00000	Drosophila_melanogaster	Rh1	NM_079683.3
S374	485.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D96N
S375	486.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D124N
S376	486.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D147N
S377	484.00000	Drosophila_melanogaster	Rh1	NM_079683.3_E194Q
S378	481.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D203N
S379	561.00000	Grus_americana	LWS	KM508487
S380	500.00000	Grus_americana	Rh1	KM508488
S381	499.00000	Grus_americana	Rh2	KM508489
S382	404.00000	Grus_americana	SWS1	KM508490
S383	450.00000	Grus_americana	SWS2	KM508491
S384	486.00000	Scopelarchus_analis	Rh1	EF517404.1
S385	479.00000	Scopelarchus_analis	Rh1	EF517405.1
S386	539.00000	Otolemur_crassicaudatus	LWS	AB112590.1
S387	502.00000	Otolemur_crassicaudatus	Rh1	AB112591.1
S388	420.00000	Carassius_auratus	SWS1	D85863.1_F86Y
S389	360.00000	Carassius_auratus	SWS1	D85863.1_F86L
S390	360.00000	Carassius_auratus	SWS1	D85863.1_F86M
S391	435.00000	Bos_tarus	SWS1	U92557.1
S392	431.00000	Limenitis_a.astyanax	Rh1	AY918902.2
S393	430.00000	Limenitis_a.astyanax	Rh1	AY918902.2_I169F
S394	429.00000	Limenitis_a.astyanax	Rh1	AY918902.2_K201R
S395	430.00000	Limenitis_a.astyanax	Rh1	AY918902.2_T273A
S396	431.00000	Limenitis_a.astyanax	Rh1	AY918902.2_I169F_K201R_T273A
