	Opsin_Class
S578	5
S579	8
S580	5
S581	5
S582	4
S583	9
S584	5
S585	7
S586	7
S587	7
S588	7
S589	4
S590	7
S591	6
S592	8
S593	6
S594	5
S595	7
S596	1
S597	1
S598	0
S599	1
S600	1
S601	2
S602	0
S603	1
S604	1
S605	1
S606	1
S607	1
S608	1
S609	2
S610	2
S611	2
S612	2
S613	0
S614	1
S615	0
S616	2
S617	0
S618	1
S619	1
S620	1
S621	1
S622	1
S623	1
S624	1
S625	1
S626	2
S627	2
S628	1
S629	1
S630	2
S631	1
S632	1
S633	0
S634	2
S635	2
S636	2
S637	2
S638	3
S639	3
S640	1
S641	1
S642	2
S643	2
S644	2
S645	2
S646	2
S647	0
S648	2
S649	2
S650	2
S651	2
S652	3
S653	3
S654	1
S655	0
S656	2
S657	1
S658	0
S659	0
S660	1
S661	1
S662	0
S663	1
S664	0
S665	1
S666	2
S667	2
S668	1
S669	0
S670	1
S671	1
S672	0
S673	1
S674	1
S675	2
S676	2
S677	3
S678	1
S679	1
S680	1
S681	2
S682	2
S683	2
S684	2
S685	1
S686	2
S687	0
S688	0
S689	0
S690	0
S691	0
S692	0
S693	0
S694	0
S695	0
S696	0
S697	0
S698	0
S699	0
S700	0
S701	0
S702	0
S703	0
S704	0
S705	0
S706	2
S707	1
S708	2
S709	2
S710	2
S711	2
S712	1
S713	0
S714	0
S715	1
S716	7
S717	1
S718	2
S719	2
S720	0
S721	1
S722	2
S723	1
S724	9
S725	9
