	Lambda_Max	Species	Opsin_Family	Accession
S44	499.50000	Bos_taurus	Rh1	NM_001014890_D83G
S45	489.50000	Bos_taurus	Rh1	NM_001014890_D83N
S46	492.50000	Bos_taurus	Rh1	NM_001014890_M86E
S47	481.00000	Bos_taurus	Rh1	NM_001014890_E122Q
S48	496.00000	Bos_taurus	Rh1	NM_001014890_E122I
S49	497.00000	Bos_taurus	Rh1	NM_001014890_E134L
S50	495.50000	Bos_taurus	Rh1	NM_001014890_E134Q
S51	499.00000	Bos_taurus	Rh1	NM_001014890_R135L
S52	493.00000	Bos_taurus	Rh1	NM_001014890_H211C
S53	493.50000	Bos_taurus	Rh1	NM_001014890_H211F
S54	496.50000	Bos_taurus	Rh1	NM_001014890_E122I_D83G
S55	491.00000	Bos_taurus	Rh1	NM_001014890_E122I_M86E
S56	497.50000	Bos_taurus	Rh1	NM_001014890_E134L_R135L
S57	496.00000	Bos_taurus	Rh1	NM_001014890_E134R_R135E
S58	500.00000	Bos_taurus	Rh1	NM_001014890_T97S
S59	500.00000	Bos_taurus	Rh1	NM_001014890_F116S
S60	493.00000	Bos_taurus	Rh1	NM_001014890_E122M
S61	500.00000	Bos_taurus	Rh1	NM_001014890_A164G
S62	500.00000	Cyprichromis_leptosoma	Rh1	AB458118.1
S63	491.00000	Paracyprichromis_brieni	Rh1	AB458120.1
S64	497.00000	Xenotilapia_papilio	Rh1	AB457996.1
S65	494.00000	Paracyprichromis_brieni	Rh1	AB458121.1
S66	493.00000	Neolamprologus_ventralis	Rh1	AB458138.1
S67	492.00000	Paracyprichromis_nigripinnis	Rh1	AB458122.1
S68	489.00000	Cyprichromis_pavo	Rh1	AB458119.1
S69	498.00000	Cyphotilapia_frontosa	Rh1	AB084929_S292A
S70	500.00000	Trematocara_macrostoma	Rh1	AB084945_S292A
S71	491.00000	Oreochromis_niloticus	Rh1	AB084938_A292S
S72	500.00000	Baileychromis_centropomoides	Rh1	AB185217_N83D
S73	503.00000	Pallidochromis_tokolosh	Rh1	AB185229_N83D
S74	502.00000	Diplotaxodon_macrops	Rh1	AB185220_N83D
S75	494.00000	Limnochromis_staneri	Rh1	AB185225_D83N
S76	501.00000	Rod_ancestor_pigmenta	Rh1	pigmenta
S77	501.00000	Rod_ancestor_pigmentb	Rh1	pigmentb
S78	501.00000	Rod_ancestor_pigmentc	Rh1	pigmentc
S79	501.00000	Rod_ancestor_pigmentd	Rh1	pigmentd
S80	482.00000	Rod_ancestor_pigmente	Rh1	pigmente
S81	502.00000	Rod_ancestor_pigmentf	Rh1	pigmentf
S82	501.00000	Rod_ancestor_pigmentg	Rh1	pigmentg
S83	502.00000	Rod_ancestor_pigmenth	Rh1	pigmenth
S84	496.00000	Rod_ancestor_pigmenti	Rh1	pigmenti
S85	485.00000	Rod_ancestor_pigmentj	Rh1	pigmentj
S86	486.00000	Rod_ancestor_pigmenti	Rh1	pigmentk
S87	486.00000	Conger_myriaster	Rh1	AB043817.1
S88	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S89	496.00000	Loxodonta_africana	Rh1	AY686752.1
S90	483.00000	Sebastolobus_altivelis	Rh1	DQ490124
S91	526.00000	Aristostomias_scintillans	Rh1	EU407248.1
S92	489.00000	Chauliodus_macouni	Rh1	EU407250.1
S93	492.00000	Stenobrachius_leucopsarus	Rh1	EU407251.1
S94	507.00000	Lepidopus_fitchi	Rh1	EU407252.1
S95	486.00000	Lepidopus_fitchi	Rh1	EU407253.1
S96	491.00000	Anolis_carolinensis	Rh1	L31503
S97	479.00000	Anguilla_japonica	Rh1	LC464070.1
S98	504.00000	Astyanax_mexicanus	Rh1	U12328.1
S99	489.00000	Rod_ancestor_pigmentc_A292S	Rh1	pigmentc_A292S
S100	502.00000	Rod_ancestor_pigmentd_A292S	Rh1	pigmentd_A292S
S101	491.00000	Rod_ancestor_pigmentg_A292S	Rh1	pigmentg_A292S
S102	498.00000	Rod_ancestor_pigmenta_D83N	Rh1	pigmenta_D83N
S103	479.00000	Rod_ancestor_pigmente_D83N	Rh1	pigmente_D83N
S104	488.00000	Rod_ancestor_pigmenta_D83N_A292S	Rh1	pigmenta_D83N_A292S
S105	486.00000	Rod_ancestor_pigmentg_D83N_A292S	Rh1	pigmentg_D83N_A292S
S106	482.00000	Rod_ancestor_pigmenth_D83N_A292S	Rh1	pigmenth_D83N_A292S
S107	482.00000	Rod_ancestor_pigmenti_D83N_A292S	Rh1	pigmenti_D83N_A292S
S108	497.00000	Rod_ancestor_pigmenta_D83N_I214T	Rh1	pigmenta_D83N_I214T
S109	526.00000	Rod_ancestor_pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I	Rh1	pigmentf_D83N_M183F_M253L_F261Y_T289G_A292I_M317I
S110	501.00000	Rod_ancestor_pigmentb_E122I	Rh1	pigmentb_E122I
S111	507.00000	Rod_ancestor_pigmentb_E122I_F261Y	Rh1	pigmentb_E122I_F261Y
S112	484.00000	Rod_ancestor_pigmentf_E122M_A292S	Rh1	pigmentf_E122M_A292S
S113	504.00000	Rod_ancestor_pigmentf_E122M_F261Y	Rh1	pigmentf_E122M_F261Y
S114	490.00000	Rod_ancestor_pigmentf_E122M_F261Y_A292S	Rh1	pigmentf_E122M_F261Y_A292S
S115	489.00000	Rod_ancestor_pigmentf_E122Q	Rh1	pigmentf_E122Q
S116	478.00000	Rod_ancestor_pigmenta_E122Q_A292S	Rh1	pigmenta_E122Q_A292S
S117	511.00000	Rod_ancestor_pigmentb_F261Y	Rh1	pigmentb_F261Y
S118	503.00000	Rod_ancestor_pigmenti_F261Y	Rh1	pigmenti_F261Y
S119	488.00000	Rod_ancestor_pigmentd_N195A_A292S	Rh1	pigmentd_N195A_A292S
S120	488.00000	Rod_ancestor_pigmentd_P194R_A292S	Rh1	pigmentd_P194R_A292S
S121	501.00000	Rod_ancestor_pigmentd_P194R_N195A	Rh1	pigmentd_P194R_N195A
S122	488.00000	Rod_ancestor_pigmentd_P194R_N195A_A292S	Rh1	pigmentd_P194R_N195A_A292S
S123	494.00000	Rod_ancestor_pigmenth_Y96V_Y102F	Rh1	pigmenth_Y96V_Y102F
S124	491.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D
S125	492.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D
S126	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D
S127	501.00000	Sebastolobus_altivelis	Rh1	DQ490124_N83D_S292A
S128	504.00000	Chauliodus_macouni	Rh1	EU407250.1_N83D_S292A
S129	495.00000	Lepidopus_fitchi	Rh1	EU407253.1_N83D_S292A
S130	499.00000	Stenobrachius_leucopsarus	Rh1	EU407251_Q122E
S131	498.00000	Conger_myriaster	Rh1	AB043817.1_S292A
S132	494.00000	Sebastolobus_altivelis	Rh1	DQ490124_S292A
S133	501.00000	Chauliodus_macouni	Rh1	EU407250.1_S292A
S134	490.00000	Lepidopus_fitchi	Rh1	EU407253.1_S292A
S135	502.00000	Lepidopus_fitchi	Rh1	EU407252.1_Y261F
S136	483.00000	Sebastolobus_altivelis	Rh1	DQ490124.1
S137	500.00000	Bos_tarus	Rh1	P02699.1
S138	489.00000	Tursiops_truncatus	Rh1	NM_001280659.1
S139	489.00000	Bos_tarus	Rh1	NM_001014890_A292S
S140	501.00000	Bos_tarus	Rh1	NM_001014890_A299S
S141	485.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S
S142	489.00000	Bos_tarus	Rh1	NM_001014890_D83N_A292S_A299S
S143	492.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_348
S144	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_306-NM_001014890_307_348
S145	499.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_306-DQ490124.1_307_348
S146	494.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1[S292A]_1_306-NM_001014890_307_348
S147	491.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890_278_306-DQ490124.1_307_348
S148	501.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1[S292A]_278_348
S149	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_348
S150	494.00000	Sebastolobus_altivelis	Rh1	DQ490124.1_S292A
S151	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_306-NM_001014890_307_348
S152	488.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890[A292S]_1_306-DQ490124.1_307_348
S153	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_306-NM_001014890_307_348
S154	482.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	DQ490124.1_1_277-NM_001014890[A292S]_278_306-DQ490124.1_307_348
S155	490.00000	Bos,Sebastolobus_tarus,altivelis	Rh1	NM_001014890_1_277-DQ490124.1_278_348
S156	467.00000	Gekko_gekko	Rh2	M92035
S157	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A
S158	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_L52M
S159	492.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49A_L52M
S160	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N
S161	0.00000	Anolis_carolinensis	Rh2	NM_001291394.1_M86T
S162	488.00000	Anolis_carolinensis	Rh2	NM_001291394.1_T97A
S163	481.00000	Anolis_carolinensis	Rh2	NM_001291394.1_D83N_M86T_T97A
S164	495.00000	Anolis_carolinensis	Rh2	NM_001291394.1_S164A
S165	512.00000	Anolis_carolinensis	Rh2	NM_001291394.1_Q122E
S166	511.00000	Anolis_carolinensis	Rh2	NM_001291394.1_F49S_Q122E_S164A
S167	467.00000	Gekko_gekko	Rh2	M92035_A164S
S168	480.00000	Gekko_gekko	Rh2	M92035_Q122E
S169	452.00000	Oryzias_latipes	Rh2	AB223053.1
S170	459.00000	Oryzias_latipes	Rh2	AB223053.1_S292A
S171	469.00000	Oryzias_latipes	Rh2	AB223053.1_Q122E_S292A
S172	496.00000	Anolis_carolinensis	Rh2	NM_001291394.1
S173	491.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_348
S174	482.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_70-M92035.1_71_100-AH007735.2_101_348
S175	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_105-M92035.1_106_139-AH007735.2_140_149-M92035.1_150_172-AH007735.2_173_348
S176	494.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_348
S177	493.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_243-M92035.1_244_273-AH007735.2_274_348
S178	492.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_284-M92035.1_285_309-AH007735.2_310_348
S179	471.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_33-M92035.1_34_64-AH007735.2_65_70-M92035.1_71_100-AH007735.2_101_105-M92035.1_106_139-AH007735.2_140-149-M92035.1_150_172-AH007735.2_173_348
S180	489.00000	Gekko,Anolis_gekko,carolinensis	Rh2	AH007735.2_1_199-M92035.1_200_225-AH007735.2_226_243-M92035.1_244_273-AH007735.2_274_284-M92035.1_285_309-AH007735.2_310_348
S181	467.00000	Danio_rerio	Rh2	AB087805.2
S182	467.00000	Danio_rerio	Rh2	AB087806.2
S183	488.00000	Danio_rerio	Rh2	AB087807.1
S184	505.00000	Danio_rerio	Rh2	AB087808.2
S185	464.00000	Danio_rerio	Rh2	AB087805.2_K36Q
S186	464.00000	Danio_rerio	Rh2	AB087805.2_L46F
S187	463.00000	Danio_rerio	Rh2	AB087805.2_I49C
S188	465.00000	Danio_rerio	Rh2	AB087805.2_V60L
S189	467.00000	Danio_rerio	Rh2	AB087805.2_S94T
S190	465.00000	Danio_rerio	Rh2	AB087805.2_L108T
S191	468.00000	Danio_rerio	Rh2	AB087805.2_V111A
S192	466.00000	Danio_rerio	Rh2	AB087805.2_M112I
S193	470.00000	Danio_rerio	Rh2	AB087805.2_V111A_M112I
S194	471.00000	Danio_rerio	Rh2	AB087805.2_S94T_V111A_M112I
S195	472.00000	Danio_rerio	Rh2	AB087805.2_L46F_I49C_S94T_V111A_M112I
S196	536.00000	Petromyzon_marinus	Rh1	EU571209.1
S197	554.00000	Petromyzon_marinus	Rh1	EU571209.1_P164S
S198	499.00000	Bos_tarus	Rh1	NM_001014890_E181A
S199	500.00000	Bos_tarus	Rh1	NM_001014890_E181N
S200	497.00000	Bos_tarus	Rh1	NM_001014890_E181D
S201	499.00000	Bos_tarus	Rh1	NM_001014890_E181C
S202	508.00000	Bos_tarus	Rh1	NM_001014890_E181Q
S203	500.00000	Bos_tarus	Rh1	NM_001014890_E181G
S204	497.00000	Bos_tarus	Rh1	NM_001014890_E181H
S205	501.00000	Bos_tarus	Rh1	NM_001014890_E181I
S206	502.00000	Bos_tarus	Rh1	NM_001014890_E181L
S207	500.00000	Bos_tarus	Rh1	NM_001014890_E181M
S208	501.00000	Bos_tarus	Rh1	NM_001014890_E181F
S209	500.00000	Bos_tarus	Rh1	NM_001014890_E181S
S210	502.00000	Bos_tarus	Rh1	NM_001014890_E181T
S211	502.00000	Bos_tarus	Rh1	NM_001014890_E181W
S212	501.00000	Bos_tarus	Rh1	NM_001014890_E181Y
S213	498.00000	Bos_tarus	Rh1	NM_001014890_E181V
S214	499.00000	Bos_tarus	Rh1	NM_001014890_E113Q
S215	500.00000	Bos_tarus	Rh1	NM_001014890_E113Q_E181D
S216	489.00000	Delphinus_delphis	Rh0	AF055314
S217	488.00000	Globicephala_melas	Rh0	AF055315
S218	484.00000	Mesoplodon_bidens	Rh0	AF055316
S219	501.00000	Phoca_vitulina	Rh0	AF055317
S220	498.00000	Phoca_groenlandicus	Rh0	AF055318
S221	502.00000	Trichechus_manatus	Rh0	AF055319
S221	571.00000	Papilio_xuthus	Rh3	AB007425.1
S222	540.00000	Papilio_xuthus	Rh1	AB007423.1
S223	538.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_379
S224	542.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_379
S225	547.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_379
S226	561.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S227	565.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_379
S228	569.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_379
S229	542.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_379
S230	558.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1_130_152-AB007423.1_153_379
S231	560.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S232	561.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_379
S233	566.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_129-AB007425.1_130_152-AB007423.1_153_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S234	556.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_91-AB007425.1_92_114-AB007423.1_115_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S235	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_91-AB007425.1_92_114-AB007423.1_115_173-AB007425.1_174_190-AB007423.1_191_217-AB007425.1_218_241-AB007423.1_242_280-AB007425.1_281_303-AB007423.1_304_313-AB007425.1_314_339-AB007423.1_340_379
S236	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F]_84_379
S237	545.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[L112I]_84-379
S238	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A115C]_84_379
S239	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G]_84-379
S240	547.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[F120Y]_84_379
S241	548.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[I123V]_84_379
S242	546.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[M130A]_84_379
S243	550.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G,F120Y,I123V]_84_379
S244	543.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F,L122I,A115C]_84_379
S245	552.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A116G,F120Y]_84_379
S246	554.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1[A109F,L112I,A115C,A116G,F120Y]_84_379
S247	551.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[G116A]_130_152-AB007423.1_153_379
S248	551.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[Y120F]_130_152-AB007423.1_153_379
S249	549.00000	Papilio_xuthus	Rh1,Rh3	AB007423.1_1_58-AB007425.1_59_83-AB007423.1_84_129-AB007425.1[G116A,Y120F]_130_152-AB007423.1_153_379
S250	502.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S
S251	510.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y
S252	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A269T
S253	520.00000	Bos_Tarus	Rh1	NM_001014890.2_F261Y_A269T
S254	512.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_F261Y
S255	514.00000	Bos_Tarus	Rh1	NM_001014890.2_A164S_A269T
S256	492.00000	Carassius_auratus	Rh1	L11863.1
S257	503.00000	Astyanax_mexicanus	Rh1	U12328.1
S258	505.00000	Gambusia_holbrooki	Rh1	Y11146.1
S259	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S260	502.00000	Xenopus_laevis	Rh1	L07770.1
S261	502.00000	Lithobates_pipiens	Rh1	S49004
S262	500.00000	Lithobates_catesbeianus	Rh1	S79840
S263	506.00000	Ambystoma_tigrinum	Rh1	U36574
S264	502.00000	Columba_livia	Rh1	AH007730.2
S265	502.00000	Taeniopygia_guttata	Rh1	AF222329
S266	503.00000	Gallus_gallus	Rh1	D00702
S267	488.00000	Tursiops_truncatus	Rh1	AF055456
S268	511.00000	Carassius_auratus	Rh2	L11865
S269	506.00000	Carassius_auratus	Rh2	L11866
S270	495.00000	Anolis_carolinensis	Rh2	AH007735.2
S271	467.00000	Gekko_gecko	Rh2	M92035.1
S272	503.00000	Columba_livia	Rh2	AH007731.2
S273	505.00000	Taeniopygia_guttata	Rh2	AF222330
S274	508.00000	Gallus_gallus	Rh2	M92038
S275	508.00000	Phreatichthys_andruzzii	Rh1	JQ413240
S276	505.00000	Phreatichthys_andruzzii	exoRh	GQ404491.1
S277	502.00000	Danio_rerio	Rh1	AF109368
S278	498.00000	Danio_rerio	exoRh	NM131212.2
S279	480.00000	Drosophila_melanogaster	Rh1	NM_079683.3
S280	485.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D96N
S281	486.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D124N
S282	486.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D147N
S283	484.00000	Drosophila_melanogaster	Rh1	NM_079683.3_E194Q
S284	481.00000	Drosophila_melanogaster	Rh1	NM_079683.3_D203N
S285	500.00000	Grus_americana	Rh1	KM508488
S286	499.00000	Grus_americana	Rh2	KM508489
S287	486.00000	Scopelarchus_analis	Rh1	EF517404.1
S288	479.00000	Scopelarchus_analis	Rh1	EF517405.1
S289	502.00000	Otolemur_crassicaudatus	Rh1	AB112591.1
S290	431.00000	Limenitis_a.astyanax	Rh1	AY918902.2
S291	430.00000	Limenitis_a.astyanax	Rh1	AY918902.2_I169F
S292	429.00000	Limenitis_a.astyanax	Rh1	AY918902.2_K201R
S293	430.00000	Limenitis_a.astyanax	Rh1	AY918902.2_T273A
S294	431.00000	Limenitis_a.astyanax	Rh1	AY918902.2_I169F_K201R_T273A
S295	435.00000	Limenitis_a.astyanax	Rh1	AY918902.2_Y179F
S296	439.00000	Danaus_plexippus	Rh1	AY605544
S297	431.00000	Limenitis_a.archippus	Rh1	EU358777
S298	452.00000	Oryzias_latipes	Rh2	AB223053
S299	516.00000	Oryzias_latipes	Rh2	AB223054
S300	492.00000	Oryzias_latipes	Rh2	AB223055
S301	448.00000	Oryzias_latipes	Rh2	CP020669.1_(400681-404250)
S302	516.00000	Oryzias_latipes	Rh2	CP020669.1_(390932-392688)
S303	494.00000	Oryzias_latipes	Rh2	CP020669.1_(376983-378663)
S304	447.00000	Oryzias_luzonensis	Rh2	LC260048
S305	517.00000	Oryzias_luzonensis	Rh2	LC260049
S306	486.00000	Oryzias_luzonensis	Rh2	LC260050
S307	469.00000	Oryzias_celebensis	Rh2	LC260051
S308	516.00000	Oryzias_celebensis	Rh2	LC260052
S309	491.00000	Oryzias_celebensis	Rh2	LC260053
S310	460.00000	Oryzias_melastigma	Rh2	LC260054
S311	519.00000	Oryzias_melastigma	Rh2	LC260055
S312	491.00000	Oryzias_melastigma	Rh2	LC260056
S313	462.00000	Oryzias_minutillus	Rh2	LC260057
S314	517.00000	Oryzias_minutillus	Rh2	LC260058
S315	493.00000	Oryzias_minutillus	Rh2	LC260059
S316	493.00000	Oryzias_latipes	Rh2	AB223054_I95L_T96N_E122Q_V123I_I205M_V209C_F213C_G269A
S317	516.00000	Oryzias_latipes	Rh2	AB223055_L95I_N96T_Q122E_I123V_M205I_C209V_C213F_A269G
S318	508.00000	Oryzias_latipes	Rh2	AB223055_Q122E
S319	0.00000	Oryzias_latipes	Rh2	AB223055_L95I_Q122E
S320	512.00000	Oryzias_latipes	Rh2	AB223055_N96T_Q122E
S321	508.00000	Oryzias_latipes	Rh2	AB223055_Q122E_I123V
S322	508.00000	Oryzias_latipes	Rh2	AB223055_Q122E_M205I
S323	510.00000	Oryzias_latipes	Rh2	AB223055_Q122E_C209V
S324	508.00000	Oryzias_latipes	Rh2	AB223055_Q122E_C213F
S325	508.00000	Oryzias_latipes	Rh2	AB223055_Q122E_A269G
S326	516.00000	Oryzias_latipes	Rh2	AB223055_L95I_N96T_Q122E_M205I_C209V_C213F_A269G
S327	515.00000	Oryzias_latipes	Rh2	AB223055_N96T_Q122E_M205I_C209V_C213F_A269G
S328	514.00000	Oryzias_latipes	Rh2	AB223055_L95I_Q122E_M205I_C209V_C213F_A269G
S329	516.00000	Oryzias_latipes	Rh2	AB223055_L95I_N96T_Q122E_C209V_C213F_A269G
