	Opsin_Class
S213	9
S214	11
S215	11
S216	10
S217	11
S218	10
S219	11
S220	11
S221	11
S222	10
S223	10
S224	10
S225	0
S226	0
S227	4
S228	0
S229	0
S230	1
S231	3
S232	0
S233	4
S234	2
S235	3
S236	0
S237	0
S238	5
S239	4
S240	4
S241	4
S242	8
S243	7
S244	7
S245	11
S246	10
S247	11
S248	6
S249	5
S250	5
S251	5
S252	5
S253	11
S254	12
S255	13
S256	13
S257	13
S258	13
S259	8
S260	11
S261	12
S262	7
S263	11
S264	11
S265	10
S266	12
S267	11
S268	11
S269	11
S270	7
S271	12
S272	12
S273	9
S274	6
S275	11
S276	12
S277	12
S278	0
S279	4
S280	0
S281	3
S282	4
S283	2
S284	4
S285	0
S286	0
S287	5
S288	5
S289	5
S290	5
S291	5
S292	14
S293	14
S294	14
S295	14
S296	14
S297	13
S298	14
S299	14
S300	12
S301	12
S302	12
S303	13
S304	14
S305	14
S306	13
S307	13
S308	13
S309	6
S310	6
S311	0
S312	0
S313	3
S314	3
S315	2
S316	2
S317	3
S318	2
S319	2
S320	3
S321	0
S322	0
S323	14
S324	0
S325	14
S326	14
S327	14
S328	13
S329	13
S330	13
S331	6
S332	5
S333	3
S334	0
S335	11
S336	0
S337	5
S338	9
S339	8
S340	4
S341	0
S342	3
S343	4
S344	1
S345	1
S346	2
S347	0
S348	2
S349	2
S350	2
S351	4
S352	4
S353	1
S354	12
S355	12
S356	11
S357	10
S358	3
S359	4
S360	4
S361	5
S362	3
S363	8
S364	8
S365	8
S366	11
S367	8
S368	5
S369	7
S370	2
S371	6
S372	7
S373	7
S374	7
S375	7
S376	6
S377	14
S378	10
S379	10
S380	3
S381	5
S382	7
S383	6
S384	14
S385	11
S386	4
S387	1
S388	1
S389	5
S390	5
S391	5
S392	13
S393	8
S394	5
S395	13
S396	9
S397	5
S398	13
S399	7
S400	6
S401	13
S402	8
S403	5
S404	13
S405	8
S406	5
S407	13
S408	9
S409	9
S410	13
S411	12
S412	13
S413	12
S414	12
S415	12
S416	12
S417	12
S418	13
S419	13
S420	13
S421	13
S422	13
S423	13
S424	13
S425	13
S426	13
S427	13
S428	13
S429	6
S430	5
S431	5
S432	5
S433	7
S434	4
S435	5
S436	6
S437	5
S438	3
S439	5
S440	3
S441	5
S442	3
S443	4
S444	5
S445	4
S446	4
S447	4
S448	4
S449	4
S450	4
S451	4
S452	4
S453	4
S454	4
S455	4
S456	4
S457	5
S458	5
S459	5
S460	5
S461	5
S462	5
S463	5
S464	5
S465	5
S466	5
S467	7
S468	7
S469	6
S470	10
S471	5
S472	6
S473	6
S474	7
S475	12
S476	13
S477	13
S478	7
S479	4
S480	2
S481	12
S482	12
S483	11
S484	5
S485	12
S486	12
S487	8
S488	12
S489	7
S490	12
S491	7
S492	12
S493	13
S494	12
S495	12
S496	12
S497	12
S498	12
S499	11
S500	7
S501	8
S502	8
S503	8
S504	12
S505	7
S506	8
S507	6
S508	13
S509	7
S510	10
S511	9
S512	9
S513	10
S514	6
S515	9
S516	9
S517	12
S518	8
S519	7
S520	10
S521	1
S522	1
S523	0
S524	1
S525	1
S526	3
S527	0
S528	1
S529	1
S530	2
S531	1
S532	1
S533	1
S534	3
S535	3
S536	3
S537	3
S538	0
S539	2
S540	0
S541	3
S542	0
S543	2
S544	2
S545	2
S546	2
S547	2
S548	2
S549	2
S550	1
S551	3
S552	3
S553	2
S554	1
S555	3
S556	1
S557	1
S558	0
S559	3
S560	3
S561	3
S562	4
S563	4
S564	4
S565	1
S566	1
S567	3
S568	3
S569	3
S570	3
S571	4
S572	0
S573	2
S574	3
S575	3
S576	3
S577	4
S578	4
S579	1
S580	0
S581	3
S582	1
S583	0
S584	0
S585	1
S586	2
S587	0
S588	1
S589	0
S590	1
S591	3
S592	3
S593	1
S594	0
S595	2
S596	1
S597	0
S598	2
S599	2
S600	3
S601	3
S602	4
S603	2
S604	1
S605	1
S606	3
S607	3
S608	3
S609	2
S610	2
S611	3
S612	0
S613	0
S614	0
S615	0
S616	0
S617	0
S618	0
S619	0
S620	0
S621	0
S622	0
S623	0
S624	0
S625	0
S626	0
S627	0
S628	0
S629	0
S630	0
S631	2
S632	2
S633	3
S634	3
S635	3
S636	3
S637	1
S638	0
S639	0
S640	2
S641	10
S642	2
S643	3
S644	4
S645	0
S646	1
S647	3
S648	1
S649	14
S650	14
S651	14
S652	14
S653	14
S654	14
S655	14
S656	14
S657	14
S658	14
S659	13
S660	14
S661	13
S662	14
S663	13
S664	14
S665	14
S666	13
S667	14
S668	14
S669	13
S670	11
S671	10
S672	0
S673	2
S674	0
S675	0
S676	4
S677	4
S678	0
S679	0
S680	2
S681	1
S682	4
S683	3
S684	2
S685	3
S686	2
S687	2
S688	10
S689	10
S690	6
S691	6
S692	6
S693	4
S694	5
S695	5
S696	2
S697	2
S698	2
S699	4
S700	0
S701	0
S702	4
S703	0
S704	2
S705	2
S706	4
S707	4
S708	7
S709	6
S710	9
S711	8
S712	14
S713	14
S714	13
S715	13
S716	14
S717	14
S718	14
S719	14
S720	14
S721	14
S722	14
S723	14
S724	14
S725	14
